SampleID	Compartment	Condition	System	Replicate	Microbe	Library	not_include	Description
R_LHL_C1	Root	LHL_C	CalcinedClay	1	Bacteria	L01631	yes	R_LHL_C1
R_LHH_C1	Root	LHH_C	CalcinedClay	1	Bacteria	L01631	yes	R_LHH_C1
R_HLL_C1	Root	HLL_C	CalcinedClay	1	Bacteria	L01631	yes	R_HLL_C1
R_HLH_C1	Root	HLH_C	CalcinedClay	1	Bacteria	L01631	yes	R_HLH_C1
R_HHL_C1	Root	HHL_C	CalcinedClay	1	Bacteria	L01631	yes	R_HHL_C1
R_HHH_C1	Root	HHH_C	CalcinedClay	1	Bacteria	L01631	yes	R_HHH_C1
M_LLL_C2	Matrix	LLL_C	CalcinedClay	2	Bacteria	L01631	yes	M_LLL_C2
M_LLH_C2	Matrix	LLH_C	CalcinedClay	2	Bacteria	L01631	yes	M_LLH_C2
M_LHL_C2	Matrix	LHL_C	CalcinedClay	2	Bacteria	L01631	yes	M_LHL_C2
M_LHH_C2	Matrix	LHH_C	CalcinedClay	2	Bacteria	L01631	yes	M_LHH_C2
M_HLL_C2	Matrix	HLL_C	CalcinedClay	2	Bacteria	L01631	yes	M_HLL_C2
M_HLH_C2	Matrix	HLH_C	CalcinedClay	2	Bacteria	L01631	yes	M_HLH_C2
M_HHL_C2	Matrix	HHL_C	CalcinedClay	2	Bacteria	L01631	yes	M_HHL_C2
M_HHH_C2	Matrix	HHH_C	CalcinedClay	2	Bacteria	L01631	yes	M_HHH_C2
R_LLL_C2	Root	LLL_C	CalcinedClay	2	Bacteria	L01631	yes	R_LLL_C2
R_LLH_C2	Root	LLH_C	CalcinedClay	2	Bacteria	L01631	yes	R_LLH_C2
R_LHL_C2	Root	LHL_C	CalcinedClay	2	Bacteria	L01631	yes	R_LHL_C2
R_LHH_C2	Root	LHH_C	CalcinedClay	2	Bacteria	L01631	yes	R_LHH_C2
R_HLL_C2	Root	HLL_C	CalcinedClay	2	Bacteria	L01631	yes	R_HLL_C2
R_HLH_C2	Root	HLH_C	CalcinedClay	2	Bacteria	L01631	yes	R_HLH_C2
R_HHL_C2	Root	HHL_C	CalcinedClay	2	Bacteria	L01631	yes	R_HHL_C2
R_HHH_C2	Root	HHH_C	CalcinedClay	2	Bacteria	L01631	yes	R_HHH_C2
M_LLL_C3	Matrix	LLL_C	CalcinedClay	3	Bacteria	L01631	yes	M_LLL_C3
M_LLH_C3	Matrix	LLH_C	CalcinedClay	3	Bacteria	L01631	yes	M_LLH_C3
M_LHL_C3	Matrix	LHL_C	CalcinedClay	3	Bacteria	L01631	yes	M_LHL_C3
M_LHH_C3	Matrix	LHH_C	CalcinedClay	3	Bacteria	L01631	yes	M_LHH_C3
M_HLL_C3	Matrix	HLL_C	CalcinedClay	3	Bacteria	L01631	yes	M_HLL_C3
M_HLH_C3	Matrix	HLH_C	CalcinedClay	3	Bacteria	L01631	yes	M_HLH_C3
M_HHL_C3	Matrix	HHL_C	CalcinedClay	3	Bacteria	L01631	yes	M_HHL_C3
M_HHH_C3	Matrix	HHH_C	CalcinedClay	3	Bacteria	L01631	yes	M_HHH_C3
R_LLL_C3	Root	LLL_C	CalcinedClay	3	Bacteria	L01631	yes	R_LLL_C3
R_LLH_C3	Root	LLH_C	CalcinedClay	3	Bacteria	L01631	yes	R_LLH_C3
R_LHL_C3	Root	LHL_C	CalcinedClay	3	Bacteria	L01631	yes	R_LHL_C3
R_LHH_C3	Root	LHH_C	CalcinedClay	3	Bacteria	L01631	yes	R_LHH_C3
R_HLL_C3	Root	HLL_C	CalcinedClay	3	Bacteria	L01631	yes	R_HLL_C3
R_HLH_C3	Root	HLH_C	CalcinedClay	3	Bacteria	L01631	yes	R_HLH_C3
R_HHL_C3	Root	HHL_C	CalcinedClay	3	Bacteria	L01631	yes	R_HHL_C3
R_HHH_C3	Root	HHH_C	CalcinedClay	3	Bacteria	L01631	yes	R_HHH_C3
Input_1	Input	Input	Input_CCFP	1	Bacteria	L01631	yes	Input_1
Input_2	Input	Input	Input_CCFP	2	Bacteria	L01631	yes	Input_2
Input_3	Input	Input	Input_CCFP	3	Bacteria	L01631	yes	Input_3
