Library	Sample	Group	Condition	Microbes_Innoculation	Tissue	Replicate	Description
4339.A	SC_Shoot_Y_1	SC_Shoot_Y	SC_Shoot	Yes	Shoot	1	Shade_Condition
4339.B	SC_Shoot_Y_2	SC_Shoot_Y	SC_Shoot	Yes	Shoot	2	Shade_Condition
4339.C	SC_Shoot_Y_3	SC_Shoot_Y	SC_Shoot	Yes	Shoot	3	Shade_Condition
4339.D	SC_Shoot_N_1	SC_Shoot_N	SC_Shoot	No	Shoot	1	Shade_Condition
4339.E	SC_Shoot_N_2	SC_Shoot_N	SC_Shoot	No	Shoot	2	Shade_Condition
4339.F	SC_Shoot_N_3	SC_Shoot_N	SC_Shoot	No	Shoot	3	Shade_Condition
4339.G	NC_Shoot_N_1	NC_Shoot_N	NC_Shoot	No	Shoot	1	Normal_Condition
4339.H	NC_Shoot_N_2	NC_Shoot_N	NC_Shoot	No	Shoot	2	Normal_Condition
4339.I	NC_Shoot_N_3	NC_Shoot_N	NC_Shoot	No	Shoot	3	Normal_Condition
4339.J	NC_Shoot_Y_1	NC_Shoot_Y	NC_Shoot	Yes	Shoot	1	Normal_Condition
4339.K	NC_Shoot_Y_2	NC_Shoot_Y	NC_Shoot	Yes	Shoot	2	Normal_Condition
4339.L	NC_Shoot_Y_3	NC_Shoot_Y	NC_Shoot	Yes	Shoot	3	Normal_Condition
4339.M	NC_Root_N_1	NC_Root_N	NC_Root	No	Root	1	Normal_Condition
4339.N	NC_Root_N_2	NC_Root_N	NC_Root	No	Root	2	Normal_Condition
4339.O	NC_Root_N_3	NC_Root_N	NC_Root	No	Root	3	Normal_Condition
4339.P	SC_Root_N_1	SC_Root_N	SC_Root	No	Root	1	Shade_Condition
4339.Q	SC_Root_N_2	SC_Root_N	SC_Root	No	Root	2	Shade_Condition
4339.R	SC_Root_N_3	SC_Root_N	SC_Root	No	Root	3	Shade_Condition
4339.S	SC_Root_Y_1	SC_Root_Y	SC_Root	Yes	Root	1	Shade_Condition
4339.T	SC_Root_Y_2	SC_Root_Y	SC_Root	Yes	Root	2	Shade_Condition
4339.U	SC_Root_Y_3	SC_Root_Y	SC_Root	Yes	Root	3	Shade_Condition
4339.V	NC_Root_Y_1	NC_Root_Y	NC_Root	Yes	Root	1	Normal_Condition
4339.W	NC_Root_Y_2	NC_Root_Y	NC_Root	Yes	Root	2	Normal_Condition
4339.X	NC_Root_Y_3	NC_Root_Y	NC_Root	Yes	Root	3	Normal_Condition
