Library	Sample	Group	Condition	Microbes_Innoculation	Tissue	Replicate	Description
4340.A	NC_Shoot_N_1	NC_Shoot_N	NC_Shoot	No	Shoot	1	Normal_Condition
4340.B	NC_Shoot_N_2	NC_Shoot_N	NC_Shoot	No	Shoot	2	Normal_Condition
4340.C	NC_Shoot_N_3	NC_Shoot_N	NC_Shoot	No	Shoot	3	Normal_Condition
4340.D	NC_Shoot_Y_1	NC_Shoot_Y	NC_Shoot	Yes	Shoot	1	Normal_Condition
4340.E	NC_Shoot_Y_2	NC_Shoot_Y	NC_Shoot	Yes	Shoot	2	Normal_Condition
4340.F	NC_Shoot_Y_3	NC_Shoot_Y	NC_Shoot	Yes	Shoot	3	Normal_Condition
4340.G	SC_Shoot_N_1	SC_Shoot_N	SC_Shoot	No	Shoot	1	Shade_Condition
4340.H	SC_Shoot_N_2	SC_Shoot_N	SC_Shoot	No	Shoot	2	Shade_Condition
4340.I	SC_Shoot_N_3	SC_Shoot_N	SC_Shoot	No	Shoot	3	Shade_Condition
4340.J	SC_Shoot_Y_1	SC_Shoot_Y	SC_Shoot	Yes	Shoot	1	Shade_Condition
4340.K	SC_Shoot_Y_2	SC_Shoot_Y	SC_Shoot	Yes	Shoot	2	Shade_Condition
4340.L	SC_Shoot_Y_3	SC_Shoot_Y	SC_Shoot	Yes	Shoot	3	Shade_Condition
4340.M	NC_Root_N_1	NC_Root_N	NC_Root	No	Root	1	Normal_Condition
4340.N	NC_Root_N_2	NC_Root_N	NC_Root	No	Root	2	Normal_Condition
4340.O	NC_Root_N_3	NC_Root_N	NC_Root	No	Root	3	Normal_Condition
4340.P	NC_Root_Y_1	NC_Root_Y	NC_Root	Yes	Root	1	Normal_Condition
4340.Q	NC_Root_Y_2	NC_Root_Y	NC_Root	Yes	Root	2	Normal_Condition
4340.R	NC_Root_Y_3	NC_Root_Y	NC_Root	Yes	Root	3	Normal_Condition
4340.S	SC_Root_N_1	SC_Root_N	SC_Root	No	Root	1	Shade_Condition
4340.T	SC_Root_N_2	SC_Root_N	SC_Root	No	Root	2	Shade_Condition
4340.U	SC_Root_N_3	SC_Root_N	SC_Root	No	Root	3	Shade_Condition
4340.V	SC_Root_Y_1	SC_Root_Y	SC_Root	Yes	Root	1	Shade_Condition
4340.W	SC_Root_Y_2	SC_Root_Y	SC_Root	Yes	Root	2	Shade_Condition
4340.X	SC_Root_Y_3	SC_Root_Y	SC_Root	Yes	Root	3	Shade_Condition
