names,Root179,Root9,Root562,Root480,Root935,Root569,Root123D2,Root329,Root565,Root217,Root491,Root241,Root773,Root240,Root630,Root750,Root11,Root70,Root154,Root149,Root318D1,Root411,Root1252,Root401,Root170,Root559,Root227,Root135,Root920,Root105,Root1293,Root1203,Root444D2,Root1277,Root280D1,Root766,Root147,Root787,Root172,Root137,Root102,Root68,Root381,Root189,Root278,Root604,Root1212,Root670,Root761,Root483D1,Root685,Root83,Root768D1,Root763,Root1294,Root267,Root22,Root482,Root1240,Root764,Root157,Root745,Root101,Root1280,Root265,Root236,Root140,Root1221,Root332,Root81,Root811,Root61,Root472D3,Root1257,Root554,Root756,Root1295,Root710,Root774,Root614,Root53,Root777,Root436,Root564,Root782,Root369,Root166,Root728,Root762,Root1304,Root107,Root748,Root729,Root4,Root736,Root100,Root809,Root797,Root405,Root535,Root136,Root690,Root538,Root708,Root772,genotype,group
SC.cry1cry2.R.5.3,0.003777148,0.023607177,0.004721435,0.018885741,0.381491974,0.015108593,0.006610009,0.013220019,0.006610009,0.171860246,0.008498584,0.059490085,0.015108593,0.006610009,0.026440038,0.001888574,0,0.008498584,0.001888574,0.004721435,0.004721435,0.001888574,0,0.026440038,0.009442871,0.066100094,0,0.004721435,0,0.002832861,0,0.001888574,0.003777148,0.007554297,0.01605288,0.001888574,0,0,0.000944287,0.008498584,0.001888574,0.000944287,0,0,0.003777148,0,0.001888574,0.003777148,0.002832861,0,0.000944287,0.001888574,0,0.004721435,0.000944287,0.000944287,0.008498584,0.001888574,0.006610009,0.007554297,0,0,0,0,0.001888574,0,0,0,0,0.000944287,0,0.001888574,0.001888574,0.000944287,0,0,0,0,0,0,0,0,0.004721435,0,0,0,0.000944287,0,0.000944287,0,0,0,0,0,0.000944287,0,0,0,0,0,0,0,0,0,0,cry1cry2,not_rescued
SC.dde2.R.1.2,0.123297794,0.018156867,0.003589148,0.065132482,0.532249551,0.049509131,0.009500686,0.012139766,0.004855906,0.029768817,0.009606249,0.033357965,0.02090151,0.002955769,0.001583448,0.000527816,0,0.000527816,0.001055632,0.001266758,0.002111264,0.002111264,0.000527816,0.011928639,0.003905838,0.002744643,0.005594849,0.002533516,0,0.002216827,0.002111264,0.009395123,0.000105563,0.00031669,0.003905838,0.0020057,0.00031669,0,0.002850206,0.003272459,0.002533516,0.000633379,0.000105563,0.00031669,0.001689011,0,0.000950069,0.002427953,0,0.000105563,0.001055632,0.000950069,0,0,0.000211126,0.000211126,0.000844505,0.001266758,0,0,0,0,0,0,0.000422253,0,0,0.00031669,0,0.000105563,0.00031669,0.001689011,0,0.001583448,0.001161195,0,0,0,0,0,0,0,0.002639079,0,0,0,0,0,0,0,0,0,0,0.00031669,0,0.000211126,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.1.1,0.090940767,0.024157956,0.005807201,0.06387921,0.520557491,0.051916376,0.010220674,0.01533101,0.007317073,0.031242741,0.01126597,0.037049942,0.029384437,0.003019744,0.001626016,0.000116144,0,0.000348432,0.001277584,0.000929152,0.001626016,0.003600465,0.000232288,0.017189315,0.007549361,0.003252033,0.008246225,0.00232288,0,0.001974448,0.002090592,0.006968641,0,0.000464576,0.003716609,0.001858304,0,0,0.003252033,0.003368177,0.002671312,0.001045296,0,0.000232288,0.003019744,0,0.00174216,0.003019744,0.000116144,0.000116144,0.001045296,0.00058072,0,0,0.000464576,0.000116144,0.001858304,0.001626016,0.000348432,0.000116144,0,0,0,0,0.000464576,0.000116144,0.000348432,0.000232288,0,0.000116144,0.00058072,0.001045296,0,0.001509872,0.00116144,0.000116144,0.000116144,0,0,0,0.000116144,0,0.00116144,0,0,0.000232288,0.000116144,0,0,0,0,0.000116144,0,0.000116144,0,0.000116144,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.1.3,0.018419362,0.050331977,0.007282073,0.067466267,0.288070251,0.077532662,0.017991004,0.027629043,0.021417862,0.080745342,0.031055901,0.054615549,0.052259584,0.00471193,0.00771043,0.000428357,0,0.000642536,0.001070893,0.002141786,0.005354466,0.00471193,0.000856714,0.023988006,0.015849218,0.02184622,0.003855215,0.008567145,0,0.005140287,0.002355965,0.006853716,0.000214179,0.000856714,0.008995502,0.000856714,0,0,0.003426858,0.002355965,0.003641037,0.003641037,0,0.002141786,0.007496252,0,0.004497751,0.00471193,0.000214179,0.000214179,0.005140287,0.001713429,0,0,0.000428357,0.000428357,0.01563504,0.003641037,0.000642536,0.000428357,0,0,0,0,0.002141786,0.000214179,0.000214179,0,0,0.000214179,0.000428357,0.002141786,0.000214179,0.003426858,0.001285072,0,0.000214179,0,0,0,0.000214179,0,0.002141786,0,0,0.004283572,0,0,0,0,0,0.000214179,0,0.000428357,0,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.2.1,0.013083955,0.084458609,0.007967793,0.028935671,0.457267466,0.045709972,0.010316196,0.020800134,0.007464564,0.07280047,0.008303279,0.066929464,0.020380777,0.006374235,0.000251615,0.000922587,0,0.002012916,0.00335486,0.001174201,0.003438732,0.002851631,0.000419358,0.020213034,0.009058123,0.002180659,0.003019374,0.002264531,0,0.007716179,0.000335486,0.004612933,0.006374235,0.001258073,0.012329112,0.000503229,0,0.000670972,0.002348402,0.00167743,0.002348402,0.002012916,8.39E-05,0.001341944,0.002264531,0,0.001761302,0.003187117,0.001425816,0.000838715,0.001006458,0.000670972,0,0.00109033,0.000419358,0.000419358,0.00612262,0.000419358,0.001174201,0.007967793,0,0,0,0.000251615,0.001258073,8.39E-05,0.000335486,0,0,8.39E-05,0.000167743,0.001174201,0,0.001006458,0.000587101,0,0,0,0,0.000335486,0,0,0.019542062,0,0,0,8.39E-05,0,0,0,0,0,0,0.000419358,0.000335486,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.2.3,0.019105046,0.041891463,0.010853697,0.043097429,0.416058394,0.022786417,0.007045382,0.016566169,0.01294827,0.090384005,0.010726753,0.092224691,0.018406855,0.003998731,0.003744843,0.000634719,0,0.002856236,0.004189146,0.001523326,0.003046652,0.003046652,0.000634719,0.03052999,0.012567439,0.007807045,0.004379562,0.002221517,0,0.010472866,0.000761663,0.003237068,0.004379562,0.002475405,0.010472866,0.000507775,0,0.000761663,0.002284989,0.002792764,0.002729292,0.000507775,0.000126944,0.00863218,0.003998731,0,0.002792764,0.004569978,0.001015551,0.002031101,0.00133291,0.001523326,0,0.001205966,0.00031736,0.000888607,0.008695652,0.001459854,0.000571247,0.003935259,0.000190416,0,0,6.35E-05,0.002411933,0.00031736,0.00031736,0,0,6.35E-05,0.000126944,0.002538877,0.006156776,0.001269438,0.000507775,6.35E-05,0,0,0,0.000253888,0.000126944,0,0.017200889,0.000126944,0,0.000126944,0,0,0,0,0,6.35E-05,0,0.000126944,0.000190416,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.2.2,0.01336757,0.081791405,0.008685145,0.030133676,0.458349067,0.041462125,0.010120082,0.01789895,0.008760668,0.071142663,0.008232007,0.069103542,0.022656899,0.008609622,0.000226569,0.000906276,0,0.002416736,0.003549581,0.001283891,0.00377615,0.00302092,0.000302092,0.019711502,0.007174685,0.001359414,0.004304811,0.002567782,0,0.006343932,0.000302092,0.003323012,0.005135564,0.002190167,0.013518616,0.000604184,0,0.000679707,0.002416736,0.00226569,0.002945397,0.00151046,0,0.001661506,0.002114644,7.55E-05,0.002643305,0.003700627,0.001434937,0.001057322,0.000981799,0.001132845,0,0.00075523,0.000302092,0.000226569,0.00604184,0.000981799,0.001208368,0.00830753,7.55E-05,0,7.55E-05,7.55E-05,0.00075523,7.55E-05,0.000226569,0,0,0.000226569,0,0.00226569,0.000151046,0.001057322,0.000679707,0,0,0,0,0.000453138,0,0,0.01865418,0,0,0,0,0,7.55E-05,0,7.55E-05,0,0,0.000151046,7.55E-05,7.55E-05,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.3.3,0.011649648,0.155616281,0.004170861,0.036099525,0.38127427,0.072486696,0.010930534,0.020279016,0.010786711,0.071479937,0.008341723,0.072774342,0.003451747,0.00100676,0.00359557,0.000862937,0,0.005465267,0.002013519,0.002301165,0.005033798,0.002444988,0.001294405,0.016251978,0.013950813,0.010355242,0.001582051,0.001294405,0,0.003883216,0.000431468,0.002157342,0.001150582,0.008485546,0.007334963,0.000719114,0,0.000287646,0.001869697,0.004314684,0.002013519,0.000862937,0.000143823,0.002732633,0.001150582,0,0.00359557,0.004027039,0.000431468,0.001725874,0.001869697,0.000575291,0,0,0.000431468,0.001438228,0.002588811,0.000862937,0.001582051,0.000431468,0,0,0,0.001150582,0.001582051,0,0,0,0,0.000719114,0.000143823,0.002732633,0.000431468,0.001438228,0.000431468,0,0,0,0,0,0,0,0.006759672,0,0,0,0,0,0.000143823,0,0,0,0,0.000575291,0,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.3.2,0.016454036,0.140336235,0.007034697,0.040300465,0.369858114,0.077023966,0.011923214,0.018480982,0.010850125,0.076427805,0.009538572,0.071777751,0.00500775,0.001192321,0.002980804,0.000834625,0,0.006319304,0.002861571,0.001550018,0.004173125,0.002623107,0.001311554,0.017288661,0.012519375,0.012280911,0.00166925,0.001907714,0,0.005126982,0.000476929,0.002861571,0.001311554,0.008227018,0.008465482,0.001073089,0,0.000238464,0.002980804,0.003219268,0.002384643,0.000715393,0,0.002265411,0.001788482,0,0.0033385,0.004530822,0.000357696,0.000476929,0.001550018,0.000834625,0,0,0.000357696,0.001907714,0.001907714,0.001311554,0.002146179,0.000476929,0,0,0,0.000715393,0.001907714,0,0.000119232,0,0,0,0.000238464,0.002861571,0.000596161,0.001311554,0.000715393,0,0,0,0,0,0,0,0.005603911,0.000357696,0,0,0.000238464,0,0,0,0.000119232,0,0,0.000357696,0,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
SC.dde2.R.3.1,0.014767664,0.12667091,0.007129217,0.0359007,0.385359644,0.068491407,0.009038829,0.020114577,0.009802673,0.076257161,0.010566518,0.072947167,0.003309994,0.001400382,0.003946531,0.000763845,0,0.007638447,0.002800764,0.001782304,0.004583068,0.003309994,0.001400382,0.022024188,0.011075748,0.013112667,0.002036919,0.002673456,0,0.005856143,0.000127307,0.002800764,0.001273074,0.009802673,0.008784214,0.00050923,0,0.000381922,0.002418842,0.003819223,0.003564609,0.001273074,0.000127307,0.002928071,0.002164227,0,0.004328453,0.003182686,0.000381922,0.001909612,0.001400382,0.00101846,0,0,0.000254615,0.001400382,0.001909612,0.00101846,0.002291534,0.000127307,0,0,0,0.000636537,0.001654997,0.000127307,0.000127307,0,0,0,0,0.002418842,0.00101846,0.000763845,0.001527689,0,0,0,0,0.000254615,0,0,0.006365372,0.000254615,0.000127307,0,0.000127307,0.000127307,0,0,0.000127307,0,0,0.000381922,0,0,0,0,0,0,0,0,0,0,0,dde2,not_rescued
