geno	condition	lab	"total number
of leaves"
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	6
cry1cry2	LPM	cry1cry2_LPM	5
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	6
cry1cry2	LPM	cry1cry2_LPM	5
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	8
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LPM	cry1cry2_LPM	7
cry1cry2	LP	cry1cry2_LP	10
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	8
cry1cry2	LP	cry1cry2_LP	8
cry1cry2	LP	cry1cry2_LP	8
cry1cry2	LP	cry1cry2_LP	8
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	9
cry1cry2	LP	cry1cry2_LP	8
cry1cry2	LP	cry1cry2_LP	7
cry1cry2	LP	cry1cry2_LP	7
cry1cry2	LP	cry1cry2_LP	7
cry1cry2	LP	cry1cry2_LP	7
cry1cry2	LP	cry1cry2_LP	6
col0	NCM	col0_NCM	17
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	14
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	14
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	14
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	16
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	15
col0	NCM	col0_NCM	15
