lab	shootfreshweight	condition	rep	geno	lab1
NC	0.0399	A	V	col0	col0_NC
NC	0.0408	A	V	col0	col0_NC
NC	0.0371	A	V	col0	col0_NC
NC	0.0306	A	V	col0	col0_NC
NC	0.0207	A	V	col0	col0_NC
SC	0.0072	C	V	col0	col0_SC
SC	0.008	C	V	col0	col0_SC
SC	0.0046	C	V	col0	col0_SC
SC	0.0106	C	V	col0	col0_SC
SC	0.0061	C	V	col0	col0_SC
SC	0.0095	C	V	col0	col0_SC
SC	0.0131	C	V	col0	col0_SC
SC	0.0065	C	V	col0	col0_SC
SC	0.0098	C	V	col0	col0_SC
NC	0.0709	A	V	myc2	myc2_NC
NC	0.0385	A	V	myc2	myc2_NC
NC	0.0243	A	V	myc2	myc2_NC
NC	0.0705	A	V	myc2	myc2_NC
NC	0.0689	A	V	myc2	myc2_NC
NC	0.0366	A	V	myc2	myc2_NC
NC	0.0405	A	V	myc2	myc2_NC
NC	0.0319	A	V	myc2	myc2_NC
NC	0.0194	A	V	myc2	myc2_NC
SC	0.0197	C	V	myc2	myc2_SC
SC	0.021	C	V	myc2	myc2_SC
SC	0.0227	C	V	myc2	myc2_SC
SC	0.0225	C	V	myc2	myc2_SC
SC	0.0308	C	V	myc2	myc2_SC
SC	0.0234	C	V	myc2	myc2_SC
SC	0.0214	C	V	myc2	myc2_SC
SC	0.0196	C	V	myc2	myc2_SC
SC	0.0169	C	V	myc2	myc2_SC
NC	0.0419	A	V	bri1	bri1_NC
NC	0.0217	A	V	bri1	bri1_NC
NC	0.0322	A	V	bri1	bri1_NC
NC	0.0869	A	V	bri1	bri1_NC
NC	0.0517	A	V	bri1	bri1_NC
NC	0.0234	A	V	bri1	bri1_NC
NC	0.0361	A	V	bri1	bri1_NC
NC	0.0373	A	V	bri1	bri1_NC
NC	0.0125	A	V	bri1	bri1_NC
SC	0.0092	C	V	bri1	bri1_SC
SC	0.017	C	V	bri1	bri1_SC
SC	0.0173	C	V	bri1	bri1_SC
SC	0.0209	C	V	bri1	bri1_SC
SC	0.0096	C	V	bri1	bri1_SC
SC	0.0148	C	V	bri1	bri1_SC
SC	0.0155	C	V	bri1	bri1_SC
SC	0.0139	C	V	bri1	bri1_SC
SC	0.006	C	V	bri1	bri1_SC
NC	0.0646	A	V	della	della_NC
NC	0.0673	A	V	della	della_NC
NC	0.0475	A	V	della	della_NC
NC	0.0588	A	V	della	della_NC
NC	0.0511	A	V	della	della_NC
NC	0.0325	A	V	della	della_NC
NC	0.0517	A	V	della	della_NC
NC	0.0641	A	V	della	della_NC
NC	0.046	A	V	della	della_NC
SC	0.0239	C	V	della	della_SC
SC	0.0123	C	V	della	della_SC
SC	0.0098	C	V	della	della_SC
SC	0.0199	C	V	della	della_SC
SC	0.0144	C	V	della	della_SC
SC	0.0095	C	V	della	della_SC
SC	0.0096	C	V	della	della_SC
SC	0.0121	C	V	della	della_SC
SC	0.0092	C	V	della	della_SC
