lab	shootfreshweight	condition	rep	geno	lab1
SC_M	0.0421	D	VI	col0	col0_SC_M
SC_M	0.0401	D	VI	col0	col0_SC_M
SC_M	0.0307	D	VI	col0	col0_SC_M
SC_M	0.0376	D	VI	col0	col0_SC_M
SC_M	0.0411	D	VI	col0	col0_SC_M
SC_M	0.0384	D	VI	col0	col0_SC_M
NC	0.0206	A	VII	col0	col0_NC
NC	0.0231	A	VII	col0	col0_NC
NC	0.0213	A	VII	col0	col0_NC
NC	0.0175	A	VII	col0	col0_NC
NC	0.018	A	VII	col0	col0_NC
NC	0.0175	A	VII	col0	col0_NC
NC	0.0128	A	VII	col0	col0_NC
NC	0.0124	A	VII	col0	col0_NC
NC	0.0105	A	VII	col0	col0_NC
SC	0.0028	C	VII	col0	col0_SC
SC	0.0024	C	VII	col0	col0_SC
SC	0.0022	C	VII	col0	col0_SC
SC	0.0026	C	VII	col0	col0_SC
SC	0.0014	C	VII	col0	col0_SC
SC	0.0027	C	VII	col0	col0_SC
SC	0.0022	C	VII	col0	col0_SC
SC	0.0017	C	VII	col0	col0_SC
SC	0.0016	C	VII	col0	col0_SC
NC_M	0.035	B	VII	col0	col0_NC_M
NC_M	0.0223	B	VII	col0	col0_NC_M
NC_M	0.0276	B	VII	col0	col0_NC_M
NC_M	0.0235	B	VII	col0	col0_NC_M
NC_M	0.0289	B	VII	col0	col0_NC_M
NC_M	0.0266	B	VII	col0	col0_NC_M
NC_M	0.0454	B	VII	col0	col0_NC_M
NC_M	0.0197	B	VII	col0	col0_NC_M
NC_M	0.0164	B	VII	col0	col0_NC_M
SC_M	0.0164	D	VII	col0	col0_SC_M
SC_M	0.0294	D	VII	col0	col0_SC_M
SC_M	0.0194	D	VII	col0	col0_SC_M
SC_M	0.0256	D	VII	col0	col0_SC_M
SC_M	0.0227	D	VII	col0	col0_SC_M
SC_M	0.0189	D	VII	col0	col0_SC_M
SC_M	0.0219	D	VII	col0	col0_SC_M
SC_M	0.0163	D	VII	col0	col0_SC_M
SC_M	0.0116	D	VII	col0	col0_SC_M
NC	0.0122	A	VII	bri1	bri1_NC
