geno	condition	lab	leaf length	leaf width	y
sid2	NC	sid2_NC	0.2030 	0.0990 	2.050505051
sid2	NC	sid2_NC	0.1990 	0.1650 	1.206060606
sid2	NC	sid2_NC	0.1990 	0.1800 	1.105555556
sid2	NC	sid2_NC	0.1980 	0.1130 	1.752212389
sid2	NC	sid2_NC	0.1960 	0.1250 	1.568
sid2	NC	sid2_NC	0.1950 	0.1990 	0.979899497
sid2	NC	sid2_NC	0.1900 	0.1930 	0.984455959
sid2	NC	sid2_NC	0.1860 	0.1490 	1.248322148
sid2	NC	sid2_NC	0.1790 	0.0950 	1.884210526
sid2	NC	sid2_NC	0.1780 	0.1660 	1.072289157
sid2	NC	sid2_NC	0.1700 	0.0910 	1.868131868
sid2	NC	sid2_NC	0.1700 	0.1530 	1.111111111
sid2	NC	sid2_NC	0.1630 	0.1610 	1.01242236
sid2	NC	sid2_NC	0.1580 	0.1430 	1.104895105
sid2	NC	sid2_NC	0.1530 	0.0960 	1.59375
sid2	NC	sid2_NC	0.1510 	0.1230 	1.227642276
sid2	NC	sid2_NC	0.1460 	0.3670 	0.397820163
sid2	NC	sid2_NC	0.1460 	0.1290 	1.131782946
sid2	NC	sid2_NC	0.1440 	0.1220 	1.180327869
sid2	NC	sid2_NC	0.1420 	0.1360 	1.044117647
sid2	NC	sid2_NC	0.1320 	0.1310 	1.007633588
sid2	NC	sid2_NC	0.1300 	0.1170 	1.111111111
sid2	NC	sid2_NC	0.1280 	0.1030 	1.242718447
sid2	NC	sid2_NC	0.1270 	0.0780 	1.628205128
sid2	NC	sid2_NC	0.1250 	0.0990 	1.262626263
sid2	NC	sid2_NC	0.1220 	0.1090 	1.119266055
sid2	NC	sid2_NC	0.1180 	0.0930 	1.268817204
sid2	NC	sid2_NC	0.1160 	0.1140 	1.01754386
sid2	NC	sid2_NC	0.1140 	0.0960 	1.1875
sid2	NC	sid2_NC	0.1100 	0.1300 	0.846153846
sid2	NC	sid2_NC	0.1070 	0.1250 	0.856
sid2	NC	sid2_NC	0.1030 	0.0860 	1.197674419
