lab	canopysize	rep	geno	light	lab1
LP	0.724	II	della	LP	LP_della
LP	0.732	II	della	LP	LP_della
LP	1.187	II	della	LP	LP_della
LP	0.867	II	della	LP	LP_della
LP	1.229	II	della	LP	LP_della
LP	1.022	II	della	LP	LP_della
LP	0.639	II	della	LP	LP_della
LP	0.745	II	della	LP	LP_della
LP	0.624	II	della	LP	LP_della
LP+M	4.216	II	della	LP	LP+M_della
LP+M	1.761	II	della	LP	LP+M_della
LP+M	1.605	II	della	LP	LP+M_della
LP+M	1.834	II	della	LP	LP+M_della
LP+M	3.259	II	della	LP	LP+M_della
LP+M	2.785	II	della	LP	LP+M_della
LP+M	1.803	II	della	LP	LP+M_della
LP+M	2.516	II	della	LP	LP+M_della
LP+M	2.037	II	della	LP	LP+M_della
NC	0.857	II	jazq	NC	NC_jazq
NC	1.609	II	jazq	NC	NC_jazq
NC	1.643	II	jazq	NC	NC_jazq
NC	1.541	II	jazq	NC	NC_jazq
NC	1.454	II	jazq	NC	NC_jazq
NC	0.563	II	jazq	NC	NC_jazq
NC	1.332	II	jazq	NC	NC_jazq
NC	1.871	II	jazq	NC	NC_jazq
NC	1.295	II	jazq	NC	NC_jazq
NC+M	1.247	II	jazq	NC	NC+M_jazq
NC+M	0.626	II	jazq	NC	NC+M_jazq
NC+M	0.462	II	jazq	NC	NC+M_jazq
NC+M	1.115	II	jazq	NC	NC+M_jazq
NC+M	1.888	II	jazq	NC	NC+M_jazq
NC+M	1.958	II	jazq	NC	NC+M_jazq
NC+M	0.679	II	jazq	NC	NC+M_jazq
NC+M	0.488	II	jazq	NC	NC+M_jazq
NC+M	1.204	II	jazq	NC	NC+M_jazq
LP	0.487	II	jazq	LP	LP_jazq
LP	0.667	II	jazq	LP	LP_jazq
LP	0.508	II	jazq	LP	LP_jazq
LP	0.273	II	jazq	LP	LP_jazq
LP	0.221	II	jazq	LP	LP_jazq
LP	0.353	II	jazq	LP	LP_jazq
LP	0.168	II	jazq	LP	LP_jazq
LP	0.188	II	jazq	LP	LP_jazq
LP	0.795	II	jazq	LP	LP_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0	II	jazq	LP	LP+M_jazq
LP+M	0.107	II	jazq	LP	LP+M_jazq
NC	3.118	III	col0	NC	NC_col0
NC	3.044	III	col0	NC	NC_col0
NC	3.263	III	col0	NC	NC_col0
NC	1.986	III	col0	NC	NC_col0
NC	2.159	III	col0	NC	NC_col0
NC	2.547	III	col0	NC	NC_col0
NC	2.514	III	col0	NC	NC_col0
NC	2.146	III	col0	NC	NC_col0
NC	1.896	III	col0	NC	NC_col0
NC+M	2.226	III	col0	NC	NC+M_col0
NC+M	1.998	III	col0	NC	NC+M_col0
NC+M	2.018	III	col0	NC	NC+M_col0
NC+M	1.749	III	col0	NC	NC+M_col0
NC+M	1.888	III	col0	NC	NC+M_col0
NC+M	3.613	III	col0	NC	NC+M_col0
NC+M	2.113	III	col0	NC	NC+M_col0
NC+M	1.07	III	col0	NC	NC+M_col0
NC+M	1.221	III	col0	NC	NC+M_col0
LP	0.63	III	col0	LP	LP_col0
LP	0.688	III	col0	LP	LP_col0
LP	0.714	III	col0	LP	LP_col0
LP	0.729	III	col0	LP	LP_col0
LP	0.718	III	col0	LP	LP_col0
LP	0.591	III	col0	LP	LP_col0
LP	0.483	III	col0	LP	LP_col0
LP	0.666	III	col0	LP	LP_col0
LP	0.272	III	col0	LP	LP_col0
LP+M	4.045	III	col0	LP	LP+M_col0
LP+M	4.141	III	col0	LP	LP+M_col0
LP+M	4.005	III	col0	LP	LP+M_col0
LP+M	2.618	III	col0	LP	LP+M_col0
LP+M	2.847	III	col0	LP	LP+M_col0
LP+M	2.977	III	col0	LP	LP+M_col0
LP+M	3.358	III	col0	LP	LP+M_col0
LP+M	2.349	III	col0	LP	LP+M_col0
LP+M	2.824	III	col0	LP	LP+M_col0
NC	5.289	III	cry1cry2	NC	NC_cry1cry2
NC	4.38	III	cry1cry2	NC	NC_cry1cry2
NC	3.912	III	cry1cry2	NC	NC_cry1cry2
NC	5.853	III	cry1cry2	NC	NC_cry1cry2
NC	3.293	III	cry1cry2	NC	NC_cry1cry2
NC	3.746	III	cry1cry2	NC	NC_cry1cry2
NC	4.325	III	cry1cry2	NC	NC_cry1cry2
NC	3.722	III	cry1cry2	NC	NC_cry1cry2
NC	4.828	III	cry1cry2	NC	NC_cry1cry2
NC+M	5.564	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	2.462	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	4.327	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	5.51	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	5.914	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	5.866	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.159	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.015	III	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.295	III	cry1cry2	NC	NC+M_cry1cry2
LP	0.791	III	cry1cry2	LP	LP_cry1cry2
LP	1.013	III	cry1cry2	LP	LP_cry1cry2
LP	0.855	III	cry1cry2	LP	LP_cry1cry2
LP	0.964	III	cry1cry2	LP	LP_cry1cry2
LP	1.036	III	cry1cry2	LP	LP_cry1cry2
LP	0.532	III	cry1cry2	LP	LP_cry1cry2
LP	0.904	III	cry1cry2	LP	LP_cry1cry2
LP	0.786	III	cry1cry2	LP	LP_cry1cry2
LP	0.745	III	cry1cry2	LP	LP_cry1cry2
LP+M	0.535	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.43	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.355	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.374	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.469	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.987	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	1.012	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.897	III	cry1cry2	LP	LP+M_cry1cry2
LP+M	0.668	III	cry1cry2	LP	LP+M_cry1cry2
NC	2.462	IV	col0	NC	NC_col0
NC	2.068	IV	col0	NC	NC_col0
NC	3.068	IV	col0	NC	NC_col0
NC	2.321	IV	col0	NC	NC_col0
NC	2.297	IV	col0	NC	NC_col0
NC	2.273	IV	col0	NC	NC_col0
NC	2.785	IV	col0	NC	NC_col0
NC	1.931	IV	col0	NC	NC_col0
NC	2.565	IV	col0	NC	NC_col0
NC+M	3.426	IV	col0	NC	NC+M_col0
NC+M	2.981	IV	col0	NC	NC+M_col0
NC+M	2.253	IV	col0	NC	NC+M_col0
NC+M	2.576	IV	col0	NC	NC+M_col0
NC+M	1.072	IV	col0	NC	NC+M_col0
NC+M	1.465	IV	col0	NC	NC+M_col0
NC+M	1.915	IV	col0	NC	NC+M_col0
NC+M	1.891	IV	col0	NC	NC+M_col0
NC+M	1.608	IV	col0	NC	NC+M_col0
LP	1.067	IV	col0	LP	LP_col0
LP	0.854	IV	col0	LP	LP_col0
LP	0.81	IV	col0	LP	LP_col0
LP	0.7	IV	col0	LP	LP_col0
LP	0.876	IV	col0	LP	LP_col0
LP	0.999	IV	col0	LP	LP_col0
LP	0.754	IV	col0	LP	LP_col0
LP	0.983	IV	col0	LP	LP_col0
LP	1.212	IV	col0	LP	LP_col0
LP+M	2.862	IV	col0	LP	LP+M_col0
LP+M	2.115	IV	col0	LP	LP+M_col0
LP+M	3.028	IV	col0	LP	LP+M_col0
LP+M	2.871	IV	col0	LP	LP+M_col0
