lab	canopysize	rep	geno	light	lab1
LP	1.429	VIII	myc2	LP	LP_myc2
LP	0.635	VIII	myc2	LP	LP_myc2
LP	1.22	VIII	myc2	LP	LP_myc2
LP	0.645	VIII	myc2	LP	LP_myc2
LP	0.927	VIII	myc2	LP	LP_myc2
LP+M	1.361	VIII	myc2	LP	LP+M_myc2
LP+M	0.628	VIII	myc2	LP	LP+M_myc2
LP+M	1.141	VIII	myc2	LP	LP+M_myc2
LP+M	0.773	VIII	myc2	LP	LP+M_myc2
LP+M	0.526	VIII	myc2	LP	LP+M_myc2
LP+M	1.289	VIII	myc2	LP	LP+M_myc2
LP+M	0.779	VIII	myc2	LP	LP+M_myc2
LP+M	0.615	VIII	myc2	LP	LP+M_myc2
LP+M	1.044	VIII	myc2	LP	LP+M_myc2
