NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu510	0	0	2	141	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	70	0	0	0	0	0	2	0	60	0	0	0	129	115	1	0	4	0	5	106	87	1	0	0	0	0	79	33	0	0	45	0	52	124	0	0	66	0	0	0	57	0	0	0	4	52	6	38	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu86	8	5	51	52	13	31	13	27	2	22	5481	40	12	10	14	12	4	28	4	6	8	31	78	48	14	6	17	7	3	62	16	53	4	10	84	70	85	8	9	43	10	50	80	57	34	33	2	14	6	97	27	10	4	19	5	47	65	34	25	44	9	10	4	47	6	5	111	38	39	75	24	4	31	6623	3	6034	7	5800	4	6127	0	105	5	30	97	3909	6	0	0	0
Zotu99	584	399	0	0	82	905	373	0	1	149	0	1747	562	622	913	74	756	1346	287	457	213	457	0	2	840	249	1528	556	721	2	1175	1	211	1068	0	4	0	84	87	2	658	0	2	4	0	574	0	122	631	0	2	431	476	3	265	6	0	0	403	0	682	424	770	4	511	4	0	0	3	0	4	319	4	0	0	0	0	7	601	0	340	0	0	0	1	0	0	0	0	0
Zotu385	109	187	1	0	1	42	136	0	1	5	0	88	121	8	61	1	15	81	122	76	23	59	5	2	126	117	66	28	5	0	50	4	30	161	0	2	0	11	1	1	141	0	1	2	0	74	0	4	126	3	0	184	19	1	84	4	2	0	40	0	12	91	2	1	59	1	0	0	2	0	1	37	0	0	0	0	0	1	5	0	15	0	0	0	0	0	0	0	0	0
Zotu6	2684	1445	2	3	1	2150	985	1	10	1	0	3425	797	2388	2814	6	2869	3494	799	2321	1256	1108	2	0	3718	737	3899	1231	1689	0	3244	1	1204	4710	0	1	1	0	2	2	993	1	4	2	0	1496	2	6	2660	0	0	1346	1213	3	821	2	1	0	937	2	2648	575	1717	3	2232	24	0	6	3	1	2	1423	2	0	0	0	0	24	1205	1	674	0	0	0	0	0	0	0	0	0
Zotu6974	68	45	0	0	0	94	46	0	0	0	0	137	100	162	74	0	159	123	52	82	29	123	0	0	191	48	107	139	54	0	115	0	23	215	0	0	0	0	0	0	118	0	0	0	0	140	0	0	89	0	0	49	132	0	26	0	0	0	85	0	187	84	70	0	102	0	0	0	0	0	0	34	0	0	0	0	0	2	47	0	54	0	0	0	0	0	0	0	0	0
Zotu100	15	29	104	140	227	35	4	117	215	387	0	55	8	26	61	231	19	46	4	22	15	10	272	205	54	3	65	13	7	256	91	216	9	50	0	382	392	231	159	94	10	220	371	278	124	8	207	367	15	270	144	21	19	182	20	340	180	145	4	147	20	7	6	120	31	203	0	151	167	257	219	9	200	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0
Zotu44	39	195	2	3	827	268	30	0	50	1586	0	523	33	75	35	728	96	398	17	35	394	155	0	11	1030	24	87	259	37	29	68	0	441	1194	0	0	1	988	556	4	40	24	2	1	9	170	49	1274	35	2	2	224	221	0	132	0	3	1	121	4	103	27	46	1	670	49	0	1	0	20	0	562	0	0	0	0	0	4	43	0	151	0	0	0	0	0	0	0	0	0
Zotu2455	110	113	0	0	0	129	126	0	0	1	0	242	167	163	90	0	233	182	89	107	68	149	0	0	289	114	128	151	86	1	119	1	69	369	0	4	2	0	0	0	254	1	0	0	0	197	0	0	121	0	0	124	117	0	63	0	0	0	118	0	224	152	81	0	146	0	0	0	0	0	0	70	0	0	0	0	0	3	81	0	71	0	0	0	0	0	0	0	0	0
Zotu17	860	121	1	1	0	2475	430	0	0	6	0	4598	230	674	461	0	915	3474	375	752	82	150	0	0	366	347	631	248	685	2	493	1	80	508	0	4	6	3	0	0	295	2	3	1	0	206	0	6	1015	2	1	133	251	0	87	2	4	0	123	1	856	206	692	3	204	0	0	0	3	8	0	104	0	0	0	0	0	5	566	0	145	0	0	0	0	0	0	0	0	0
Zotu87	268	227	35	7	209	150	53	18	39	306	0	227	59	233	102	262	280	230	49	218	278	82	60	12	1016	48	147	139	232	27	143	43	264	1380	0	33	38	169	162	65	78	15	36	36	46	64	28	257	300	50	7	211	118	12	133	14	4	15	44	12	252	57	223	11	584	46	0	25	23	22	5	314	7	0	0	0	0	7	162	0	67	0	0	0	0	0	0	0	0	0
Zotu172	171	307	4	1	82	238	65	14	10	65	0	348	133	234	86	68	306	257	76	152	212	180	1	1	821	54	113	217	124	0	87	0	202	949	0	2	0	30	57	7	193	2	3	3	4	195	8	45	172	2	0	325	178	4	179	0	2	17	113	1	228	139	120	2	359	12	0	19	2	1	0	306	0	0	0	0	0	2	60	0	81	0	0	0	0	0	0	0	0	0
Zotu146	219	115	4	139	21	380	55	12	14	55	0	582	77	415	189	19	553	521	41	225	60	73	168	109	168	39	225	107	126	28	199	107	58	205	0	191	228	23	12	3	115	23	156	142	7	107	15	39	265	178	53	97	98	71	53	85	177	15	52	88	432	73	112	111	83	10	0	9	59	34	48	73	55	0	0	0	0	0	89	0	41	0	0	0	0	0	0	0	0	0
