NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu308	0	0	6	185	3	51	0	4	3	2	0	94	0	0	0	4	0	70	0	0	0	0	126	102	1	0	0	0	0	7	0	97	0	0	0	180	191	2	1	10	0	7	237	133	10	0	1	2	0	136	70	0	0	105	0	87	237	6	0	94	0	0	0	150	0	1	0	4	107	10	69	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu757	6	3	11	21	23	2	2	8	6	33	0	10	1	5	1	19	8	3	1	4	3	6	214	52	5	1	3	1	3	28	2	145	3	7	0	86	105	18	12	13	0	20	165	72	11	5	4	30	4	191	42	0	1	79	1	34	26	15	6	61	10	0	1	18	4	7	0	14	73	22	17	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu584	28	41	9	8	39	52	28	2	66	61	0	89	31	95	26	48	111	87	32	30	23	42	15	8	117	27	28	48	19	9	29	13	20	111	0	8	11	28	39	2	38	6	14	9	8	36	60	69	34	10	5	51	32	7	22	1	1	3	34	9	120	31	22	3	52	72	0	5	7	8	1	35	1	0	0	0	0	1	17	0	18	0	0	0	0	0	0	0	0	0
Zotu642	14	39	0	0	0	28	18	0	0	0	0	49	62	23	17	0	39	56	16	13	23	29	3	1	85	11	22	38	26	0	28	0	29	115	0	1	2	0	0	0	110	1	0	1	0	26	0	0	17	4	1	42	36	0	24	0	1	0	42	0	54	69	23	0	43	0	0	0	0	0	0	38	0	0	0	0	0	0	15	0	25	0	0	3	0	0	0	0	0	0
Zotu1216	36	4	0	1	0	0	80	0	0	0	0	0	0	5	113	0	7	0	93	36	0	2	1	1	11	76	113	4	0	0	88	0	3	11	0	3	2	0	0	0	0	0	0	0	0	5	0	0	38	0	0	4	3	0	2	0	2	0	0	0	3	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu3669	0	0	0	0	0	11	0	0	0	0	0	17	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu484	0	0	1	132	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	158	72	0	0	0	0	0	6	0	96	0	0	0	136	188	0	0	0	0	4	119	100	1	0	0	1	0	152	53	0	0	59	0	64	140	0	0	72	0	0	0	91	0	0	0	0	64	1	55	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu225	58	94	0	1	4	170	27	2	2	186	0	277	57	130	33	4	147	200	36	54	52	62	0	2	214	29	55	72	42	6	41	0	69	228	0	0	0	94	0	0	73	3	0	0	0	65	4	128	67	0	0	87	62	0	59	0	0	0	45	1	128	32	44	0	76	1	0	0	0	3	0	67	0	0	0	0	0	1	43	0	35	0	0	0	0	0	0	0	0	0
Zotu1382	0	0	4	87	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	33	0	0	0	0	0	3	0	23	0	0	0	81	74	0	0	2	0	2	52	55	0	0	2	0	0	44	23	0	0	36	0	34	80	0	0	33	0	0	0	51	0	0	0	1	33	3	28	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1982	2	1	10	2	4	3	0	1	2	2	0	5	1	1	0	4	1	3	0	2	2	2	20	6	1	2	1	1	2	2	1	16	1	2	0	1	8	11	2	9	2	3	21	5	8	2	0	10	1	20	0	1	0	16	0	4	3	0	1	1	1	0	2	2	3	0	0	0	7	3	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu2516	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	0	0	0	0	13	0	0	0	35	28	2	0	0	0	0	23	20	0	0	0	0	0	30	8	0	0	11	0	6	23	0	0	13	0	0	0	8	0	0	0	0	12	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu93	0	77	1	0	0	451	264	0	0	0	0	753	406	4	607	0	13	648	228	0	69	138	3	3	287	242	923	223	117	0	691	0	68	355	0	0	1	0	0	0	516	0	0	1	2	180	0	0	0	0	0	99	205	0	63	0	0	0	112	0	10	346	157	2	136	0	0	1	0	1	0	112	0	0	0	0	0	1	112	0	103	0	0	0	0	0	0	0	0	0
Zotu3004	0	0	5	0	16	0	0	6	20	23	0	0	0	0	0	20	0	0	0	0	0	0	2	1	0	0	0	1	0	5	0	0	0	3	0	0	1	9	17	7	0	10	0	0	11	1	14	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	13	0	9	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu1001	0	0	12	23	0	5	0	7	5	9	0	2	0	2	17	2	0	6	0	0	0	0	44	25	0	0	23	0	0	12	11	26	0	1	0	63	61	1	0	11	0	11	61	52	13	0	4	9	1	34	19	1	0	33	0	17	49	2	0	28	0	0	1	28	0	2	0	13	27	12	16	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu449	0	0	12	0	138	0	0	10	98	97	0	0	0	0	0	173	0	1	0	0	0	0	30	0	0	0	0	0	0	208	0	18	0	0	0	2	3	40	95	14	0	205	1	0	16	0	83	93	0	21	1	0	0	0	0	1	1	13	0	0	0	0	0	2	0	77	0	5	2	214	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1806	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0	8	0	0	0	21	28	0	0	1	0	0	22	17	1	0	0	0	0	9	4	0	0	11	0	7	19	0	0	12	0	0	0	18	0	0	0	0	5	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3830	1	3	0	6	0	2	0	0	1	1	0	3	2	0	0	1	2	1	0	1	0	0	9	5	6	0	2	1	0	0	0	5	0	3	0	13	23	2	1	1	2	1	17	9	3	2	4	2	0	6	3	0	2	11	1	6	4	2	0	4	2	2	0	7	4	0	0	1	16	5	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2039	0	0	1	8	0	14	2	0	0	0	0	20	0	0	3	1	0	25	1	0	0	0	10	12	0	2	5	0	1	1	2	19	0	1	0	15	7	0	0	0	0	1	9	12	0	0	0	3	0	15	6	0	0	3	0	5	10	0	0	9	0	1	0	9	0	0	0	0	6	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2401	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0	5	0	0	0	16	18	0	0	0	0	0	18	13	0	0	0	0	0	12	4	0	0	8	0	9	17	0	0	1	0	0	0	11	0	0	0	0	8	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1642	0	0	2	9	11	0	1	2	4	4	0	0	1	0	1	2	1	1	0	0	0	0	15	5	0	0	0	0	1	8	0	8	0	1	0	7	8	3	4	2	0	6	11	5	10	0	2	2	0	18	3	1	0	12	0	4	25	2	0	6	0	0	0	10	0	2	0	2	8	11	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2992	0	0	3	3	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	6	5	1	0	5	3	3	0	4	1	0	0	0	0	1	1	0	0	0	0	2	2	5	0	0	0	2	0	2	0	0	0	5	0	6	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2063	0	0	2	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	2	1	3	0	2	0	0	4	3	2	0	3	7	1	5	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu783	5	4	10	28	35	11	0	7	31	119	0	25	0	8	13	40	6	8	0	3	0	4	123	63	6	0	8	0	2	13	6	73	0	7	0	48	43	65	26	17	0	12	72	28	16	6	28	108	1	93	35	1	0	29	2	35	28	14	1	61	9	0	0	17	2	24	0	9	33	15	20	1	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu508	0	0	258	12	90	0	0	170	12	60	0	0	0	0	0	67	0	0	0	0	0	0	90	14	0	0	0	0	0	300	0	28	0	0	0	16	17	38	54	218	0	308	39	6	340	0	13	45	0	60	4	0	0	14	0	2	8	201	1	8	0	0	0	5	0	19	0	204	14	347	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu686	37	10	0	0	5	39	21	0	0	0	0	67	29	49	5	1	62	66	12	30	11	17	0	1	32	19	14	30	45	0	16	0	12	47	0	0	0	0	1	0	30	2	0	0	0	32	0	0	34	0	0	11	26	0	5	0	0	0	28	0	63	19	39	0	17	0	0	0	0	0	0	18	0	0	0	0	0	0	26	0	10	0	0	0	0	0	0	0	0	0
Zotu595	1	0	3	45	0	2	0	1	0	0	0	8	0	0	0	0	0	6	0	0	0	0	79	78	0	0	0	0	0	1	0	90	0	0	0	97	106	0	1	0	0	2	99	63	2	0	0	0	0	96	45	0	0	54	0	50	64	0	0	61	0	0	0	30	0	0	0	0	55	4	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5180	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	5	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1606	14	1	1	14	0	14	4	0	0	0	0	40	1	3	0	0	4	39	0	12	4	3	24	2	5	4	1	27	97	1	3	19	8	5	0	13	23	0	0	0	5	0	15	6	0	13	0	2	22	25	7	2	28	5	2	8	6	0	7	10	3	3	96	16	3	0	0	0	5	1	4	11	4	0	0	0	0	0	57	0	16	0	0	0	0	0	0	0	0	0
Zotu729	0	0	96	6	64	1	0	22	105	165	0	5	0	0	0	83	2	1	0	0	0	0	19	15	0	0	0	0	0	43	0	14	0	0	0	7	7	102	37	77	0	28	26	4	111	1	88	153	0	23	20	1	0	14	0	2	11	32	0	4	0	0	1	4	0	121	0	30	14	35	3	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1139	0	0	0	10	0	2	0	1	0	1	0	2	0	1	0	0	0	0	0	0	2	0	36	21	0	0	0	0	0	1	0	30	0	1	0	39	44	0	0	2	0	1	32	30	1	0	0	0	0	36	13	0	0	14	0	5	10	2	0	25	0	0	0	10	1	0	0	0	15	0	6	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu481	1	0	19	57	8	27	7	7	1	6	0	44	0	4	0	7	3	22	3	0	0	0	45	116	0	2	0	0	0	46	0	31	0	0	0	68	79	2	7	19	0	22	154	54	32	0	5	7	1	47	99	0	0	80	0	20	80	17	0	132	1	0	0	66	0	0	0	8	68	30	20	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1284	0	0	3	68	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	104	38	0	0	0	0	0	3	0	58	0	0	0	101	90	1	0	2	0	3	87	78	2	0	0	0	0	72	46	0	0	36	0	55	106	0	0	48	0	0	0	61	0	1	0	0	61	0	35	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	1	3	0	0	9	2	0	0	5	15	0	13	0	7	0	13	8	16	0	1	7	1	0	0	7	1	0	7	0	0	0	0	3	13	0	0	0	9	12	1	0	0	0	0	0	1	1	15	1	0	0	6	4	0	1	0	0	0	1	1	8	0	1	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu3498	0	0	0	11	1	7	0	0	0	0	0	16	0	1	0	0	9	16	0	0	0	0	5	7	0	0	0	0	0	0	0	6	0	0	0	5	6	0	0	0	0	0	30	8	0	0	0	0	0	7	7	0	0	10	0	5	11	2	0	7	8	0	0	7	0	0	0	0	16	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu558	63	7	0	0	0	37	16	0	0	1	14	45	10	117	48	0	125	36	17	85	1	13	0	1	18	17	53	9	208	0	54	0	0	32	6	0	0	0	0	0	11	0	0	0	0	8	0	0	95	0	0	10	4	0	6	1	0	0	4	0	111	14	209	2	16	0	4	0	0	0	0	1	0	16	0	0	0	1	175	0	4	0	0	0	2	3	0	0	0	0
Zotu347	1	0	8	293	2	6	0	9	1	5	0	12	0	0	0	0	0	7	0	0	0	1	215	164	0	0	0	0	0	9	0	160	0	1	0	276	232	1	1	10	0	10	358	178	10	0	1	0	0	196	101	0	0	191	0	111	297	9	0	125	0	0	0	207	0	3	0	8	188	18	91	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3226	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	10	6	0	0	0	0	0	0	0	6	0	0	0	9	11	1	0	0	0	1	9	7	0	0	2	0	0	7	6	0	0	3	0	4	5	0	0	6	0	0	0	2	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3850	7	0	0	0	0	5	0	0	0	0	0	4	0	0	5	0	1	2	0	4	0	0	0	0	2	0	13	0	2	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu967	1	0	9	3	74	0	1	3	15	48	0	0	0	0	0	56	0	0	0	0	0	0	4	3	0	0	0	0	0	17	0	7	0	0	0	18	13	17	43	7	0	9	20	6	9	0	16	34	0	2	7	0	0	14	0	5	5	3	0	10	0	0	0	2	0	10	0	2	12	14	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3380	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	2	0	4	0	0	0	4	9	0	0	0	0	0	4	5	0	0	0	0	0	3	2	0	0	1	0	7	12	0	0	7	0	0	0	1	0	0	0	0	3	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu426	0	0	352	3	39	1	0	391	0	12	0	0	0	0	0	46	0	0	0	0	0	0	32	6	0	0	0	0	0	121	0	18	0	0	0	3	1	10	15	399	0	125	20	1	414	0	0	10	0	26	2	0	0	6	0	2	4	410	0	4	0	0	0	2	0	0	0	418	13	104	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1205	0	0	0	0	49	0	0	39	0	37	0	0	0	0	0	55	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	1	24	33	0	0	0	3	2	0	0	0	35	0	1	1	0	0	0	0	3	1	32	0	2	0	0	0	2	0	0	0	34	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu357	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	1	0	2	0	0	0	1	0	1	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu1466	16	14	0	0	0	25	10	0	0	0	0	52	9	40	15	0	48	41	5	21	5	11	1	0	18	7	32	20	22	0	25	0	5	25	0	0	2	0	0	0	10	0	0	0	0	20	0	0	17	1	0	7	17	1	2	0	2	0	11	0	44	11	25	0	13	0	0	0	1	0	2	5	0	0	0	0	0	1	19	0	9	0	0	0	0	0	0	0	0	0
Zotu1057	0	0	4	69	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	30	0	0	0	0	0	3	0	37	0	0	0	60	65	0	0	1	0	2	61	46	2	0	2	0	0	36	24	0	0	24	0	30	52	0	0	31	0	0	0	40	0	0	0	1	21	4	22	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2022	1	4	3	1	0	9	9	0	0	0	0	17	13	11	10	0	9	13	10	2	2	4	1	0	2	7	10	3	12	0	4	0	0	7	0	2	0	0	0	3	7	0	0	2	3	6	0	0	2	1	0	2	4	0	3	0	0	0	1	0	15	6	11	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
Zotu3009	4	1	0	0	0	1	0	0	0	0	0	4	4	0	0	0	2	7	0	4	2	3	0	0	10	0	0	9	1	0	0	0	0	9	0	0	0	0	0	0	8	0	1	0	0	4	0	0	3	0	0	2	7	0	1	0	0	0	3	0	2	9	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
Zotu4872	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0
Zotu1147	0	0	1	27	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	23	0	0	0	0	0	0	0	34	0	0	0	23	44	0	0	0	0	0	40	28	0	0	0	0	0	25	20	0	0	22	0	12	33	0	0	20	0	0	0	28	0	0	0	1	22	1	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2664	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	8	0	0	0	12	9	0	0	0	0	0	8	7	0	0	0	0	0	11	4	0	0	5	0	5	14	0	0	7	0	0	0	11	0	0	0	0	4	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu870	1	0	6	29	5	10	1	2	5	6	0	11	0	1	1	0	0	10	0	1	1	0	93	26	6	0	0	0	0	9	0	72	0	1	0	73	59	5	3	13	0	12	134	47	8	0	4	8	0	127	19	2	0	56	0	38	17	3	0	25	0	3	1	16	1	7	0	6	69	14	27	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu682	12	5	1	17	12	29	3	2	14	67	0	58	12	19	8	9	19	35	2	10	3	8	44	33	17	0	9	8	18	4	10	35	5	31	0	28	38	40	4	4	7	8	36	19	3	7	6	64	19	48	14	12	8	21	1	5	22	6	4	19	16	11	16	12	15	11	0	6	24	6	5	7	5	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0
Zotu406	148	16	0	0	0	154	13	0	0	0	0	241	26	69	45	0	100	206	12	119	19	23	1	0	62	18	57	19	157	0	55	0	18	73	0	1	1	0	0	0	37	0	0	1	0	46	0	0	155	1	0	27	20	0	13	1	0	0	28	0	91	25	157	1	36	0	0	0	0	0	0	23	0	2	0	0	0	0	104	0	7	0	0	0	0	0	0	0	0	0
Zotu2582	0	0	0	3	2	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	6	0	0	0	0	0	2	0	6	0	0	0	6	7	1	0	3	0	0	14	11	1	0	1	3	0	4	2	0	0	12	0	5	2	2	0	2	0	0	0	0	0	1	0	6	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu640	0	0	1	79	1	0	0	0	2	3	0	1	0	0	0	1	0	3	0	0	0	0	126	69	0	0	0	0	0	8	0	95	0	0	0	134	144	0	0	5	0	4	93	122	7	0	2	3	0	120	43	0	0	55	0	87	159	7	0	63	0	0	0	85	0	0	0	9	48	9	63	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1212	17	8	0	0	2	54	17	10	1	4	0	97	10	32	39	1	42	87	16	13	4	9	7	0	19	7	47	7	14	4	45	3	8	24	0	0	0	2	3	1	20	6	3	0	1	15	0	3	18	1	0	9	10	0	6	0	2	12	6	0	37	11	11	1	11	1	0	18	1	2	0	8	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
Zotu4516	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	3	4	0	0	0	0	0	2	0	0	0	1	0	6	3	0	0	0	0	0	0	4	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1685	0	0	1	2	4	1	1	4	2	15	0	2	0	0	0	5	0	4	0	0	0	0	23	11	1	0	0	0	0	4	0	20	0	0	0	33	31	7	5	2	0	5	14	26	1	0	2	9	0	34	4	0	1	12	0	4	1	0	0	8	1	0	0	4	1	2	0	4	14	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu635	8	6	11	25	3	13	0	2	5	1	0	16	3	5	21	6	7	24	1	5	1	6	29	25	5	1	33	4	2	20	35	27	1	9	0	110	146	3	1	3	7	19	42	121	4	5	1	2	8	30	12	4	4	29	2	12	34	8	5	19	5	1	5	17	3	6	0	3	20	7	20	1	11	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
Zotu466	0	0	29	65	77	0	0	5	26	123	0	0	0	0	0	67	0	0	0	0	0	0	155	21	0	0	0	0	0	21	0	107	0	0	0	93	86	75	66	26	0	22	239	62	12	0	18	85	0	122	19	0	0	121	0	172	69	13	0	20	0	0	0	46	0	25	0	13	123	21	135	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3666	0	6	0	0	0	0	0	0	1	3	0	1	5	0	0	0	0	0	0	0	6	11	1	0	13	0	0	2	0	0	0	0	5	17	0	0	0	0	0	0	14	1	0	0	0	7	0	1	0	0	0	6	1	0	4	0	0	0	8	0	0	3	0	0	10	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu709	0	0	3	79	1	3	0	0	0	3	0	8	0	0	0	2	0	2	0	0	0	0	88	80	0	0	0	0	0	7	0	52	0	0	0	116	140	0	0	1	0	11	101	131	2	0	1	0	0	87	48	0	0	66	0	86	135	2	0	66	0	0	0	79	0	0	0	12	42	7	55	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1016	17	3	0	0	1	85	11	0	0	1	0	125	3	32	8	0	45	107	13	12	3	1	0	0	9	13	8	6	24	0	14	0	2	9	0	1	0	0	0	0	3	0	0	0	0	6	0	0	23	0	0	1	3	1	1	0	1	0	3	0	45	4	22	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0
Zotu1091	0	0	38	0	49	0	0	20	0	86	0	0	0	0	0	44	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	66	28	40	0	4	1	0	48	0	0	77	0	3	1	0	0	2	0	1	0	22	0	0	0	0	0	2	0	0	0	23	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3044	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23	18	0	0	0	0	0	1	0	13	0	0	0	11	19	0	0	0	0	0	35	16	0	0	0	0	0	16	7	0	0	10	0	13	16	0	0	15	0	0	0	13	0	0	0	0	10	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4385	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0	0	0	2	2	0	0	0	0	0	4	1	0	0	0	0	4	2	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1224	0	4	0	0	0	1	0	0	0	0	0	0	30	0	95	0	0	0	0	0	1	0	0	0	16	0	130	0	0	0	107	0	2	17	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	24	1	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Zotu441	83	26	0	5	20	116	8	3	13	47	0	230	30	76	32	43	77	164	14	73	21	17	3	9	83	10	20	23	46	2	26	3	25	87	0	0	4	27	12	0	25	5	17	1	0	32	8	26	78	3	2	27	43	15	20	1	9	3	26	5	97	17	42	7	34	4	0	1	8	3	0	28	0	0	0	0	0	2	24	0	27	0	0	0	0	0	0	0	0	0
Zotu3877	2	2	0	0	0	2	0	0	0	2	0	4	5	0	0	0	0	0	1	0	5	4	0	0	11	2	3	4	2	0	0	1	2	10	0	0	0	1	0	1	4	0	0	0	3	6	0	4	0	0	0	3	4	0	2	0	0	0	1	1	1	6	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
Zotu975	0	0	0	31	0	3	0	2	0	0	0	1	1	0	0	0	0	4	0	0	0	0	55	37	0	0	0	0	0	2	0	34	0	0	0	78	81	0	0	2	0	1	48	32	2	0	0	0	0	54	26	0	0	22	0	30	30	0	0	28	0	0	0	18	0	0	0	0	27	3	17	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
