NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01240	4.3542	4.5856	3.8834	3.378	3.5484	3.5571	3.8364	3.8822	4.1745	4.8373	4.9085	4.9585	5.1036	5.2843	4.9787	3.5765	3.6819	3.8622	4.073	3.8369	3.7981	4.5514	4.5604	4.311
AT1G01250	-5.5022	-5.4353	-3.7532	2.9474	2.4733	2.5746	-5.4374	-5.6316	-5.3392	2.8795	2.793	2.6787	-3.0833	-5.5398	-5.1232	2.1657	1.7826	2.2287	-5.3258	-3.5059	-2.1791	2.1207	2.1527	2.914
AT1G01260	4.9684	5.0333	4.9916	4.6666	4.593	4.7468	4.9279	4.8792	5.1873	4.8508	4.6425	4.7564	5.0796	5.2521	5.2398	4.911	4.9829	4.7093	4.7336	4.8502	4.7226	4.8936	4.9638	5.233
AT1G01290	3.645	3.4746	3.5167	4.4053	4.4846	4.5159	3.4175	3.5459	3.5465	4.2171	4.0985	4.1055	3.4434	3.5971	3.412	4.5186	4.1343	4.2743	3.3572	3.3727	3.5253	3.9174	4.0691	3.9913
AT1G01300	5.801	5.7784	6.2566	7.212	6.8439	6.8552	6.2609	6.2832	6.331	7.0135	7.0284	6.9465	5.7679	5.8584	5.9381	7.1271	6.544	6.8497	6.6704	6.7249	6.7282	7.4363	7.2252	7.2941
AT1G01320	4.9103	4.8673	4.74	9.9958	9.9089	9.8919	4.5725	4.4546	4.4535	9.8816	9.737	9.9265	4.8368	5.0461	4.8469	9.8527	9.8123	9.7047	4.7255	4.9021	4.7295	9.7885	9.8975	10.0007
AT1G01340	5.3705	5.3237	5.7124	2.9923	2.7825	2.3323	6.133	5.9928	5.766	2.9644	2.7562	2.6787	5.7791	5.7015	5.44	3.7281	3.7982	3.8622	6.1342	5.9678	6.031	2.7007	3.21	3.285
AT1G01350	4.2971	4.5028	4.364	4.4502	4.3278	4.4376	4.3748	4.5346	4.7065	4.3743	4.4255	4.3311	4.766	4.5569	4.5824	4.2286	4.2522	4.5556	4.5615	4.7245	4.4377	4.3377	4.4163	4.6608
AT1G01360	4.4092	4.5261	4.4579	4.0962	4.0763	3.9552	4.2404	4.2798	3.8823	3.8839	4.0076	3.9424	4.7735	4.965	4.7207	3.9651	4.0482	4.0202	3.9712	4.0255	4.0387	3.5922	3.6015	3.5987
AT1G01370	1.4166	1.7446	1.6731	1.3738	2.0793	1.0309	2.17	2.2202	2.4617	2.0523	1.6299	2.0364	1.606	1.4259	1.3846	0.9358	1.0868	0.9731	1.8138	2.1088	2.3264	1.7106	1.8661	1.4864
