NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT2G10931	2.0447	2.1116	2.0627	1.3738	1.0912	1.7013	2.1551	2.5333	2.3542	1.5793	0.9064	1.2722	2.4086	2.1675	2.0959	1.5639	0.8678	1.0308	2.0751	2.5312	2.5292	1.9301	1.7333	1.6404
AT2G10940	-3.9173	-1.043	-5.3382	11.0716	10.6044	10.479	-5.4374	-5.6316	-5.3392	11.0845	10.9477	11.0698	-5.4052	-5.5398	-3.5383	10.4582	9.9967	10.102	-3.7408	-1.6314	-2.6646	11.5184	11.4058	11.8408
AT2G10950	4.2906	4.4549	4.2967	4.3759	4.0941	4.379	4.3058	4.3922	4.3208	4.0716	4.0231	4.1373	4.3447	4.3805	4.3009	4.3017	4.2613	4.2802	4.3378	4.2777	4.5351	4.0638	4.0272	4.1977
AT2G11000	4.7109	4.7081	4.848	4.9854	5.0476	5.1135	4.7975	4.8165	4.8118	4.9076	5.0782	5.142	4.8176	4.6537	4.8782	5.0478	4.9664	5.2334	4.8922	4.7436	4.8417	5.1483	5.1148	5.0798
AT2G11140	2.8421	2.6888	2.7963	1.7846	1.5355	1.8923	3.1211	3.1854	2.96	1.3958	1.2615	1.2257	2.7292	2.5423	2.6383	2	1.6513	1.4245	2.8591	2.7609	2.6788	0.8783	1.0307	1.0645
AT2G11150	-1.5953	0.0565	-2.5308	0.3219	-0.1957	0.0906	-5.4374	-2.4616	-3.0173	0.8707	0.6094	0.0498	0.0211	-1.1475	-1.9533	1.1768	0.9595	0.3126	-0.5709	0.1186	-0.7386	0.3787	1.508	0.381
AT2G11240	-0.2928	-3.8504	-1.6377	-0.5121	-0.0847	-0.364	-1.7369	-0.8767	-3.7543	-0.5799	-0.272	-1.2456	-1.4983	-2.0804	-1.2164	-2.0382	-2.2555	-1.8343	-1.8663	-1.0034	-2.6646	-2.1573	-1.1823	-1.2039
AT2G11300	-0.3729	-1.3479	-3.0162	-0.1776	-3.2546	-3.5339	-2.63	-4.0466	-2.1693	-1.3169	-1.35	-2.3831	-1.3177	-1.4524	-2.8013	-3.2606	-1.3625	-1.4717	-2.5184	-1.0034	-2.1791	-2.1573	-3.0567	-4.6634
AT2G11520	5.0893	5.2058	5.1345	4.8083	4.8626	4.8133	5.0891	5.0096	4.9883	4.7776	4.8746	4.6894	5.2646	5.3723	5.2332	5.0778	5.242	5.2303	5.4266	5.2766	5.4218	4.9407	4.9601	4.8305
AT2G11810	-0.2928	-0.1499	-0.9458	-0.7877	-0.4473	-0.1647	0.3955	-0.7736	0.0183	-0.7864	0.4343	0.1529	-0.7613	-1.2919	-1.4228	-0.7581	0.2225	0.0022	-0.6819	-1.184	-1.286	2.235	1.7677	3.1375
AT2G11880	2.3743	2.5362	2.4366	1.9756	2.1717	2.4125	2.17	1.8998	2.2681	2.3587	2.1944	2.4749	3.1144	2.9798	2.6905	2	1.9258	2.1786	2.409	2.7857	2.6646	1.3536	2.0998	1.9365
AT2G11890	5.0912	5.0024	5.225	6.0392	6.0711	6.0997	5.3627	5.2287	5.3019	6.1047	6.0357	5.9523	5.0857	5.2041	5.0971	5.9755	6.0951	5.912	5.4711	5.3427	5.323	6.1085	6.2294	6.3817
AT2G11891	-2.0428	-1.043	-0.8146	-2.7137	-1.6697	-1.949	-1.1894	-0.7736	-0.6954	-1.6795	-1.0605	-1.5351	-1.9458	-1.1475	-1.4228	-1.6756	-1.893	-0.7347	-1.2383	-2.2835	-1.286	-2.1573	-1.1823	-4.6634
AT2G11910	6.3063	6.2586	6.3653	6.6042	6.3459	6.341	6.2927	6.4442	6.559	6.4954	6.3635	6.359	6.0393	6.1558	6.2578	6.3425	6.4902	6.3205	6.406	6.2518	6.2284	6.4072	6.4869	6.698
AT2G12170	-0.1447	-0.3061	-0.8146	0.1738	0.8883	0.6625	-0.7935	-1.9311	-0.8157	1.1856	0.972	0.8495	-1.1573	-0.4106	-1.6638	0.2838	1.38	-0.1181	-1.4189	-1.3904	-0.7386	0.7302	1.508	1.2193
AT2G12190	-5.5022	-3.8504	-3.7532	1.0305	0.9933	1.1479	-5.4374	-4.0466	-5.3392	1.3461	1.7469	2.3062	-5.4052	-5.5398	-5.1232	1.1318	0.1466	0.3126	-5.3258	-2.7689	-3.4015	1.9965	1.9582	2.5363
AT2G12400	5.6277	5.8905	5.4684	4.3969	4.736	4.5482	5.4338	5.3058	5.4165	4.5819	4.7209	4.5734	5.9195	5.9645	5.836	4.7893	4.5164	4.8158	6.1434	6.0326	6.1069	5.0657	4.6825	4.1015
AT2G12460	-0.8584	-0.3061	-1.2507	3.2544	2.3203	2.5606	-1.9779	-1.9311	-1.4324	1.5355	2.2216	1.9532	-1.0129	-0.4955	-1.0358	2.3736	1.7573	1.9877	-0.9334	-2.2835	-1.286	2.0906	1.5871	2.0509
AT2G12461	-0.8584	0.2926	-0.2938	2.1443	2.2157	2.1572	-1.7369	-0.8767	-0.2948	1.742	1.4574	1.4447	-0.0476	0.5262	0.4313	1.7544	1.2769	1.5872	-1.0778	0.5239	-0.7386	1.4034	1.3807	1.6404
AT2G12462	3.8965	4.0465	3.5657	3.568	3.5656	3.4921	3.7939	3.4426	3.5766	3.9352	4.0076	3.6303	3.8498	3.9896	4.1459	3.4259	3.1803	3.1199	3.8112	4.0045	3.8112	3.5264	3.3751	3.5987
AT2G12480	-0.8584	-1.5284	-1.0902	-3.4507	-4.8396	-2.797	-1.7369	-3.3096	-3.7543	-2.9019	-4.5199	-4.705	-1.1573	-1.0163	0.1622	-3.2606	-5.0629	-3.0567	-0.8022	-1.6314	-1.5271	-4.4793	-4.6417	-4.6634
AT2G12490	3.5503	3.6063	3.2506	3.4032	3.4869	3.5641	2.871	2.8401	2.8944	2.8441	3.3067	3.3877	3.2918	3.2643	3.3072	3.0432	3.1707	3.6205	3.0623	3.1428	3.1784	3.0676	3.093	2.594
AT2G12550	3.8706	4.0138	3.9356	3.0781	3.1772	2.9948	3.75	3.8663	3.9346	3.0445	3.1596	2.5711	4.1006	4.0545	4.0592	3.4809	3.433	3.4617	3.9849	4.0915	4.0275	3.2002	3.2949	2.944
AT2G12646	3.6348	3.3295	3.8293	-3.4507	-4.8396	-5.1189	4.2047	4.4938	4.4039	-4.4868	-4.5199	-4.705	3.919	3.4742	3.7986	-4.8455	-5.0629	-2.3197	3.5901	3.7003	3.8684	-4.4793	-4.6417	-1.4935
AT2G13100	4.863	4.7508	4.6175	5.1179	5.3316	5.2087	4.6193	4.6175	4.5296	5.283	5.3396	5.2964	4.7859	4.7513	4.8001	5.3206	5.1306	5.5094	4.9399	4.9658	4.9487	5.247	5.4576	5.248
AT2G13290	2.9449	3.0363	2.8566	4.6526	4.6623	4.753	2.942	2.5131	2.6091	4.2377	4.2046	4.3201	3.386	3.364	3.5098	4.8073	4.6735	4.8721	3.3712	2.9913	3.2375	4.2588	4.1098	4.1081
AT2G13360	5.8021	6.437	5.9888	11.4679	11.3528	11.3109	4.9058	4.687	5.291	10.933	10.7191	10.824	7.8381	7.5441	7.1619	11.1485	11.1701	11.0815	6.1535	6.2112	6.2187	10.7138	10.8457	10.9523
AT2G13370	6.749	6.8164	6.8163	6.6114	6.8751	6.7293	6.5679	6.5837	6.5066	6.6962	6.5762	6.7539	6.7663	6.929	6.7421	6.739	6.727	6.7502	6.6795	6.6392	6.6748	6.6403	6.7714	6.5515
AT2G13440	4.4447	4.4086	4.5551	5.9957	5.8686	5.9758	4.2889	4.2738	4.1705	6	5.9282	6.0507	4.6018	4.6035	4.5368	5.7774	5.7912	5.7836	4.3902	4.3909	4.6116	6.0276	5.9461	5.9975
AT2G13540	5.4585	5.332	5.5437	5.3492	5.6209	5.5597	5.4837	5.5966	5.5117	5.6204	5.5502	5.4255	5.2839	5.3064	5.4683	5.3554	5.4965	5.3959	5.4366	5.5394	5.5263	5.6175	5.7366	5.6709
AT2G13550	-0.4578	-1.3479	-0.9458	-3.4507	-4.8396	-2.3115	-0.0798	-0.2053	-0.5844	-2.1649	-2.9349	-1.5351	0.2095	0.3428	-0.0788	-3.2606	-5.0629	-3.0567	-0.1163	-0.447	0.223	-4.4793	-2.3198	-4.6634
AT2G13560	7.4194	7.4547	7.5048	7.4921	7.5885	7.5184	7.5698	7.5874	7.4903	7.6524	7.6026	7.7162	7.2608	7.2737	7.321	7.6305	7.6031	7.6664	7.3588	7.343	7.2812	7.7059	7.7503	7.5561
AT2G13600	1.8465	1.5072	1.9003	1.9302	1.4642	2.194	2.1847	1.9609	1.8799	1.853	2.08	1.5987	0.9347	1.8265	1.591	1.4213	1.7053	2.0166	2.0406	2.0891	1.9793	1.7875	2.0165	1.4027
AT2G13610	-1.1099	-2.628	-1.2507	4.1468	4.009	3.9337	-1.3499	-2.4616	-1.2518	4.4703	4.5755	4.7022	-1.7048	-2.7325	-2.8013	3.7581	3.9399	3.5727	-0.6819	-1.6314	-1.0796	4.5403	4.9224	4.9495
AT2G13650	4.5076	4.5261	4.2673	3.6752	3.7035	3.6326	4.7137	4.6596	4.4372	3.7753	3.5408	3.838	4.4481	4.4417	4.4598	4.0704	3.9622	4.0414	4.7118	4.5035	4.8637	3.5376	3.6757	3.3973
AT2G13660	-0.9787	-1.3479	-1.0902	-1.5762	0.0184	-1.4185	-1.3499	-0.9877	-1.8798	-1.3169	-1.7125	-1.5351	-0.8816	-2.7325	-1.0358	-1.6756	-1.156	-1.4717	-1.2383	-1.6314	-0.899	-0.7788	-0.1181	-1.4935
AT2G13665	2.1913	2.7093	2.4498	2.5864	2.5613	2.669	2.1401	2.1822	2.1446	2.2274	2.6197	2.1653	2.948	3.0931	2.8251	2.6057	2.9427	2.9358	2.0921	2.2401	2.0247	2.532	2.0165	2.0509
AT2G13680	-2.3323	-1.9759	-1.0902	-0.2807	-1.6697	-0.475	-0.4832	-1.3836	-1.0913	-0.5799	-0.8195	-0.0612	-3.0833	-2.7325	-0.8753	-1.3861	-3.4779	-2.3197	-3.0038	-1.9209	-1.5271	-2.8943	-0.1181	-0.2711
AT2G13690	3.2086	3.1609	3.3378	3.5074	3.8293	3.6592	3.1287	3.4372	3.3921	3.9436	3.8681	3.717	2.9391	3.0186	3.0813	3.3394	3.2363	3.2349	3.154	3.3312	3.3399	3.6857	3.8779	3.8797
AT2G13790	4.95	4.8877	4.8652	5.4391	5.3856	5.3272	4.7413	4.6104	4.5722	5.5341	5.4531	5.3731	4.82	4.9808	4.8411	6.3125	6.6188	6.2555	4.5886	4.496	4.4993	5.4201	5.794	5.0764
AT2G13800	3.7669	3.7421	3.5955	3.217	3.2948	3.1985	3.7842	3.6971	3.5465	3.2614	3.3566	3.0829	3.9009	3.7293	3.7866	3.5849	3.7086	3.7027	3.5353	3.6674	3.5947	3.2002	3.1331	2.944
AT2G13810	3.4893	3.1831	3.752	-5.0356	-3.2546	-5.1189	4.7537	4.3095	4.7442	-1.3169	-4.5199	-3.1201	2.6116	2.5423	2.8597	-0.322	-0.2049	1.0863	3.0185	2.327	2.8653	-4.4793	-2.3198	-3.0784
AT2G13820	5.2602	5.3287	5.5422	3.4032	2.987	3.0155	5.2092	5.2365	4.8884	2.8441	3.2012	2.8263	4.9133	4.9788	4.9522	3.2682	2.5444	2.793	5.836	5.5895	5.6401	3.2823	2.8421	2.5363
AT2G13840	3.2759	3.0525	3.3727	3.4197	3.2532	3.4995	3.1884	3.2295	3.196	3.3141	3.3688	2.9884	3.4309	3.3088	3.3155	3.2152	3.4801	3.0237	3.0879	3.0019	3.0191	3.3473	3.2712	3.0848
AT2G13900	-0.1447	-1.043	-0.0527	-5.0356	-4.8396	-5.1189	-1.7369	-0.4221	-0.1298	-4.4868	-4.5199	-4.705	-0.7613	-1.2919	-1.4228	-4.8455	-5.0629	-4.6416	0.6515	-1.0034	-1.0796	-4.4793	-4.6417	-4.6634
AT2G13960	1.6167	0.7935	0.6391	0.3219	-0.4473	0.1665	-0.0798	0.8114	1.1686	0.157	0.3381	0.2492	1.7344	1.5154	1.6712	-0.322	-0.2049	-0.9412	0.1005	1.3185	0.8464	0.1646	-0.7348	-0.2711
AT2G13970	4.5463	4.8673	4.8052	5.0924	5.0106	4.9987	4.5008	4.1902	4.3595	4.9705	5.0328	4.9656	5.1465	5.0554	5.0252	4.8976	4.8243	4.9639	4.6813	4.5974	4.619	4.8268	5.0289	5.0932
AT2G13975	3.1667	3.2755	2.6102	3.6403	3.2319	3.5781	2.3635	2.6116	2.8257	3.3397	3.3193	3.4087	3.1685	2.9719	2.8936	3.4166	3.4489	3.2349	2.9079	2.8458	2.606	3.2555	3.4616	3.5606
AT2G14045	3.2693	3.2823	3.0325	4.7243	5.2089	5.2019	2.9847	2.9646	3.1882	4.9373	5.1823	5.0747	3.0665	3.1361	3.2032	4.7673	5.0206	5.1641	3.1213	3.1039	3.2471	4.974	5.0845	5.2147
AT2G14050	1.9324	1.9134	1.8217	2.8531	2.9742	3.046	2.0139	1.7172	2.1446	2.7706	3.2549	3.2078	1.7547	2.1675	2.1529	2.2098	2.8737	2.6893	1.7723	2.5312	2.2327	3.1574	3.1065	2.8042
AT2G14080	0.8728	1.0725	0.3898	5.4166	5.8284	5.7721	-0.3081	-0.5872	-0.6954	5.8849	5.9282	5.9945	1.7137	1.878	1.4466	5.5109	5.6086	5.6971	0.1661	0.1946	0.223	5.9522	5.9647	5.7364
AT2G14095	1.9816	2.0645	1.2317	-2.7137	-1.1391	-3.5339	1.7818	1.7863	1.6494	-1.3169	-2.9349	-4.705	0.7446	0.65	-0.0788	-1.3861	-0.419	-3.0567	0.7403	0.8864	0.3711	-1.6719	-4.6417	-4.6634
AT2G14100	4.2775	4.4488	4.3466	-2.7137	-2.0322	-1.949	4.299	4.1149	4.3904	-2.9019	-2.9349	-4.705	5.0284	4.7877	5.0752	-0.0906	0.0664	0.2164	4.9654	4.7309	4.7998	-1.0198	-3.0567	-2.3415
AT2G14110	2.4921	2.6361	2.1295	2.6717	2.5267	2.9739	2.3374	2.2932	1.9736	2.6931	2.66	2.6078	2.3696	1.96	2.1714	2.3736	2.8013	2.5775	2.3109	2.3604	2.3798	2.6603	2.6529	2.5165
AT2G14115	0.8728	1.0725	1.0712	1.4722	1.0431	1.1479	0.9377	1.6993	0.9275	1.703	1.1525	1.5238	0.8986	0.689	0.8075	1.5295	1.38	1.3807	0.9031	0.5239	1.4565	0.7302	1.289	1.4451
AT2G14120	6.4538	6.5734	6.4583	5.7033	5.8617	5.8447	6.3254	6.3389	6.4294	5.802	5.9426	5.8215	6.5559	6.5366	6.4799	5.9152	5.7849	5.7982	6.5957	6.4993	6.5327	5.8838	5.8631	5.8255
AT2G14170	6.4304	6.6257	6.3601	5.9091	5.8213	5.9316	6.4085	6.5324	6.5807	5.6893	5.6209	5.7075	7.2959	7.0183	6.8771	6.1608	6.1076	6.0085	6.6454	6.8417	6.8026	5.45	5.4257	5.0696
AT2G14210	3.495	3.4007	3.2876	-3.4507	-4.8396	-1.949	3.1211	3.179	2.6208	-4.4868	-4.5199	-4.705	2.3957	2.1536	2.2255	-4.8455	-2.2555	-4.6416	2.1899	1.6773	1.4565	-1.6719	-3.0567	-2.3415
AT2G14220	1.8465	1.7838	1.7387	3.1493	3.1204	2.8867	1.2209	1.1886	1.8799	3.1352	3.1454	3.0161	2.4957	2.477	1.932	2.981	2.7763	2.8741	2.409	2.1853	1.7817	3.0364	3.0093	3.0848
AT2G14247	1.5312	1.4102	2.0627	0.0937	0.1146	0.5535	1.82	1.6068	1.6033	1.2411	0.972	0.5804	-1.1573	-0.1823	-0.5997	-4.8455	-3.4779	-4.6416	-0.5709	1.0589	-0.0323	0.5651	0.6437	1.009
AT2G14255	5.4585	5.3204	5.1527	5.7151	5.5517	5.565	4.8879	4.893	5.0754	5.4246	5.3975	5.4934	4.9925	4.7989	4.9549	5.6849	5.4538	5.5788	4.7788	4.9134	4.9516	5.1949	5.423	5.3464
AT2G14260	4.636	4.6535	4.5792	5.5745	5.6751	5.6534	4.4003	4.4783	4.3525	5.6616	5.6235	5.7998	4.5764	4.7787	4.5368	5.5457	5.6033	5.5245	4.4474	4.0715	4.1709	5.45	5.5567	5.6324
AT2G14285	1.949	2.272	1.7171	4.2194	4.213	4.3909	1.8755	1.6993	1.9181	3.7753	3.9839	3.6303	2.1105	1.6401	2.2255	4.3118	4.1343	4.1689	2.1255	1.9426	2.2132	3.5706	4.0201	4.3506
AT2G14290	-2.3323	-0.6804	-1.4313	-0.7877	-2.5176	-1.6595	-3.1154	-3.3096	-3.0173	-2.1649	-2.9349	-2.3831	-0.5472	0.3909	-0.4794	-2.5236	-0.2049	-1.1822	-1.4189	-1.184	-0.5942	-4.4793	-2.3198	-2.3415
AT2G14440	-0.1447	0.4954	-0.4802	-5.0356	-4.8396	-5.1189	-2.2674	-1.108	0.087	-4.4868	-4.5199	-4.705	2.0127	1.4488	1.6182	-4.8455	-5.0629	-4.6416	1.9871	1.8517	1.9083	-2.8943	-4.6417	-4.6634
AT2G14460	3.1524	3.0363	3.3864	3.5828	3.5047	3.6852	3.4785	3.5558	3.7456	3.0601	3.4969	3.6481	3.1378	3.0785	3.4878	3.5425	3.6953	3.7291	3.602	3.7389	3.7312	3.6449	3.5726	3.9984
AT2G14510	3.0408	3.6227	2.8566	-5.0356	-4.8396	-5.1189	3.2101	2.6858	3.3716	-2.9019	-4.5199	-4.705	5.0095	4.9389	4.764	-3.2606	-5.0629	-4.6416	4.8776	4.9301	5.0093	-2.8943	-4.6417	-4.6634
AT2G14520	3.4256	3.407	3.1416	2.7909	3.1993	3.1147	2.9333	2.7821	3.0574	2.3835	2.5354	2.6958	2.8569	2.948	2.8134	1.7544	2.1945	2.9053	2.7241	2.5312	2.693	1.7106	2.2287	2.1821
AT2G14530	3.7716	3.8385	3.8541	4.6872	4.3674	4.5553	3.9442	4.1048	4.1058	4.5103	4.6724	4.5262	4.0563	4.1727	3.9347	4.536	4.2747	4.3155	4.0471	3.9343	3.8684	4.6109	4.5555	4.7182
AT2G14560	1.3433	1.194	1.8418	5.5064	4.7989	4.7437	1.7818	1.7693	1.672	5.7335	4.9168	4.7888	-3.0833	-5.5398	-2.8013	6.7019	7.2263	7.2206	-2.1558	-1.9209	-0.7386	4.8085	5.6262	4.7981
AT2G14580	-5.5022	-5.4353	-5.3382	0.9417	0.5867	0.8118	-5.4374	-5.6316	-5.3392	0.9394	1.82	2.3062	-5.4052	-5.5398	-5.1232	-3.2606	-1.893	-3.0567	-5.3258	-5.0909	-4.9865	-1.3093	-0.9413	1.118
AT2G14610	-5.5022	-5.4353	-5.3382	-1.5762	-4.8396	-5.1189	-5.4374	-5.6316	-5.3392	1.0678	0.124	1.0229	-5.4052	-5.5398	-5.1232	1.9747	4.781	4.7951	-5.3258	-5.0909	-4.9865	-1.6719	0.973	0.8912
AT2G14620	1.5312	1.2512	1.3201	-2.2283	-1.1391	-1.949	1.433	1.8031	0.9645	-0.5799	0.3381	-1.8977	0.9347	1.2803	1.1435	-1.3861	0.8197	-1.8343	1.2134	1.5091	1.6134	-1.3093	0.1132	-1.2039
AT2G14660	-0.0104	-0.2259	-0.4802	3.1787	3.3051	3.3528	0.2351	0.5583	0.1526	3.1642	3.0575	2.9744	0.0867	0.0147	-0.2653	3.2366	3.122	3.0657	0.6515	0.5816	0.4398	3.2418	3.1721	3.5702
AT2G14680	4.605	4.6771	4.329	4.6906	4.6662	4.8192	4.2298	4.187	4.1586	4.6347	4.9293	4.8515	4.479	4.4331	4.33	4.6483	4.6667	4.7137	4.148	4.3079	4.3776	4.7081	4.832	4.8144
AT2G14720	6.9712	7.0203	6.9195	6.7105	6.7001	6.6339	6.8449	6.7047	6.7878	6.4549	6.5428	6.5328	6.9254	7.1128	7.0426	6.8588	6.7712	6.9115	6.8625	6.783	6.8781	6.4901	6.6268	6.3303
AT2G14740	5.6213	5.8025	5.5918	5.6518	5.685	5.5928	5.5205	5.4352	5.5937	5.5452	5.5231	5.7554	5.7704	6.0493	5.9368	5.6633	5.5527	5.6859	5.761	5.8436	5.8954	5.7044	5.5955	5.4094
AT2G14750	6.4897	6.5587	6.3133	7.5529	7.5995	7.6474	6.5317	6.3681	6.3521	7.7714	7.6776	7.6708	6.2481	6.3005	6.0758	7.4918	7.4422	7.8758	7.0094	6.9067	6.949	8.1522	7.6844	7.5433
AT2G14760	0.8728	1.1345	0.2164	-5.0356	-4.8396	-5.1189	-0.0111	-0.0169	0.1526	-4.4868	-4.5199	-4.705	0.8986	0.5262	0.6047	-4.8455	-5.0629	-4.6416	1.5446	0.7918	1.0359	-4.4793	-4.6417	-4.6634
AT2G14800	0.9072	0.7545	0.5926	0.4562	1.1377	1.2561	0.972	0.9978	0.8506	0.5576	1.0948	1.0229	0.8986	1.3305	0.2343	0.7692	1.1269	0.7159	0.4022	0.9752	1.3534	1.1932	0.4027	0.2908
AT2G14820	3.9796	3.815	4.0649	-5.0356	-3.2546	-3.5339	4.3619	4.5912	4.4273	-4.4868	-4.5199	-4.705	3.7572	3.0489	3.7625	-3.2606	-5.0629	-3.0567	3.8861	4.0359	3.8112	-4.4793	-3.0567	-4.6634
AT2G14830	2.337	2.4039	2.2985	2.1836	2.1262	1.9145	2.2974	2.3852	2.4617	1.742	1.6699	1.2722	2.4713	2.007	2.4237	1.6623	1.8319	1.6982	2.0406	2.222	2.1734	1.6705	2.2287	2.207
AT2G14835	5.6808	5.7784	5.7827	5.6465	5.4213	5.4912	5.8885	5.8325	5.8225	5.5089	5.4927	5.5417	5.7766	5.8541	5.8775	5.5734	5.5674	5.517	5.9498	5.9597	5.9316	5.55	5.5017	5.462
AT2G14850	3.6348	3.4258	3.3518	3.5974	3.4225	3.3116	3.3603	3.2233	3.2644	3.53	3.4745	3.4498	3.7007	3.4173	3.6873	3.6898	3.7477	3.4721	3.5477	3.397	3.5014	3.3345	3.3413	3.6809
AT2G14860	2.0135	1.8221	2.2393	2.601	2.7379	2.4125	2.228	2.1693	2.3261	2.7893	3.0726	2.8572	2.0624	2.1112	2.3444	2.6543	2.3717	2.3471	2.2667	2.5602	2.3264	3.1132	2.9656	3.1375
AT2G14878	7.2302	7.4421	7.3001	5.5503	5.7482	5.7461	7.1088	7.136	7.229	5.6918	5.6981	5.3651	7.5049	7.6135	7.5959	5.5219	5.6384	5.9216	7.5336	7.45	7.4854	5.4381	5.2757	5.0628
AT2G14880	3.5449	3.4685	3.5291	6.1696	5.7613	5.9398	3.0505	2.9421	3.1882	6.1758	5.9609	6.2086	3.4245	3.5343	3.517	5.873	5.6811	5.6193	3.5781	3.397	3.8369	6.0374	5.9904	6.398
AT2G14890	7.3497	7.4729	7.622	7.449	7.0759	7.0817	7.9242	7.8159	7.838	7.046	7.1888	6.9984	7.2586	7.3011	7.5613	7.275	6.6249	6.8547	8.0985	7.8762	7.8658	7.6132	7.1844	7.2529
AT2G14900	3.729	3.5898	3.5896	3.5151	3.3051	3.6592	3.9355	4.3922	4.59	3.013	3.3566	3.0829	2.894	2.2611	2.4542	3.4166	2.8013	3.3752	2.9363	3.1806	2.9023	2.9884	2.1527	1.6034
AT2G14910	6.152	6.1538	6.0199	7.7373	7.8018	7.8474	5.8028	5.909	5.7725	7.4663	7.5459	7.5603	6.2301	6.4016	5.982	7.8111	7.8061	7.8165	5.6204	5.5948	5.6619	7.6872	7.8154	7.7684
AT2G14920	1.2392	0.8684	1.6731	-5.0356	-4.8396	-5.1189	1.7022	1.6813	1.672	-4.4868	-4.5199	-4.705	0.2672	-0.3304	-0.0788	-4.8455	-5.0629	-4.6416	0.824	0.9315	0.4398	-4.4793	-4.6417	-4.6634
AT2G14960	3.4722	2.7692	4.0606	-1.1287	-4.8396	-3.5339	3.8129	3.9477	3.528	-2.9019	-4.5199	-4.705	2.2883	1.62	2.8711	-3.2606	-5.0629	-4.6416	2.9174	2.7229	2.3444	-4.4793	-3.0567	-2.3415
AT2G15000	3.9469	3.6334	4.086	4.2052	3.7416	3.9337	4.378	4.4625	4.5811	3.9268	3.8508	3.7503	3.9502	3.7293	3.9455	3.8375	3.6131	3.6576	4.3555	4.3417	4.3556	4.0325	4.1031	4.3562
AT2G15020	-5.5022	-5.4353	-5.3382	8.8098	8.6836	8.6463	-5.4374	-5.6316	-5.3392	6.4208	6.3817	6.3684	-5.4052	-5.5398	-5.1232	8.3509	8.231	8.1827	-5.3258	-5.0909	-4.9865	5.8461	6.0066	6.0534
AT2G15042	-5.5022	-5.4353	-5.3382	4.5475	4.3378	4.2583	-5.4374	-5.6316	-5.3392	4.2912	4.6273	4.4971	-5.4052	-5.5398	-5.1232	5.6633	5.7274	5.7794	-5.3258	-5.0909	-4.9865	4.4064	4.6689	4.3394
AT2G15050	-2.6949	-2.628	-3.7532	7.3288	7.4368	7.2629	-3.8524	-3.3096	-2.5319	7.3692	7.4426	7.2246	-2.5978	-2.3699	-2.3159	6.822	6.6781	7.1278	-1.0778	-3.5059	-0.7386	7.2363	7.101	7.1452
AT2G15080	-0.4578	-0.1499	0.2766	6.529	6.6214	6.648	0.0545	0.0964	0.2153	6.3996	6.2425	6.3631	0.7446	0.5687	-0.169	7.4039	7.1758	7.5584	0.289	0.1946	0.8464	6.4537	6.5756	6.0923
AT2G15090	1.949	1.7042	1.7599	3.4919	4.0763	4.0734	2.1095	2.1166	1.8604	5.3476	5.5583	5.5746	1.5137	1.0895	1.6182	3.4353	3.8044	3.503	2.1741	2.1283	2.0469	5.5962	5.6746	5.6255
AT2G15128	1.509	1.3329	1.8418	1.2312	1.1828	1.2561	1.8388	2.3741	1.8604	1.4904	2.3003	1.9243	1.0705	1.0601	0.9853	1.0371	0.8678	1.8975	1.0836	0.8864	1.2423	1.3021	0.7846	0.622
AT2G15130	-1.4148	-3.1134	-1.8787	-2.2283	-2.0322	-1.6595	-1.9779	-0.8767	-1.4324	-1.6795	-0.4324	-2.3831	-2.2353	-2.0804	-1.9533	-2.0382	-2.741	-2.3197	-3.0038	-1.3904	-1.286	-2.1573	-3.0567	-2.3415
AT2G15220	7.1762	7.0213	6.6091	-0.5121	-0.4473	-1.6595	5.9075	5.7548	5.934	-0.0945	-0.1276	0.0498	6.379	6.6279	6.5794	1.8959	2.7763	2.7421	5.9037	5.6208	5.4882	0.65	-0.2494	-0.4155
AT2G15230	5.6968	5.7489	5.3974	3.5974	3.8643	3.6788	5.2999	5.1588	4.9838	4.009	3.7793	3.8911	5.1561	5.2505	5.0703	3.8993	3.7152	4.1625	4.6153	4.5146	4.5468	3.865	3.553	3.3755
AT2G15240	5.3299	5.4109	5.4506	4.802	4.6859	4.6901	5.2553	5.2131	5.3499	4.6604	4.853	4.8818	5.327	5.5148	5.4013	4.7637	4.8274	4.6735	5.4333	5.408	5.3545	4.7375	4.7355	4.519
AT2G15270	3.7575	3.7371	3.6247	3.5456	3.2948	3.3364	3.3209	3.6092	3.5826	3.3141	3.4745	3.7585	3.7369	3.7105	3.7316	3.2682	3.8044	3.7115	3.6714	3.7325	3.8432	3.4216	3.5726	3.4813
AT2G15280	3.2889	3.4504	2.9519	4.0278	4.1059	4.2626	3.3007	3.5409	3.4777	4.1168	4.0462	4.0398	3.4245	3.1431	3.2211	3.7947	3.8825	3.611	3.3988	3.5202	3.3127	3.9843	3.7887	4.1663
