lab	length	width	light	y	microbe
NCM	0.527	0.323	NC	1.632	+M
FRM	0.397	0.243	FR	1.633744856	+M
NCM	0.675	0.411	NC	1.642	+M
NCM	0.44	0.268	NC	1.642	+M
FRM	0.438	0.266	FR	1.646616541	+M
NCM	0.627	0.38	NC	1.65	+M
NC	0.425	0.257	NC	1.654	-M
NC	0.423	0.255	NC	1.659	-M
FRM	0.328	0.197	FR	1.664974619	+M
NCM	0.601	0.36	NC	1.669	+M
FRM	0.298	0.178	FR	1.674157303	+M
NCM	0.342	0.204	NC	1.676	+M
NC	0.535	0.318	NC	1.682	-M
NCM	0.825	0.489	NC	1.687	+M
FRM	0.79	0.468	FR	1.688034188	+M
NCM	0.437	0.258	NC	1.694	+M
FRM	0.408	0.24	FR	1.7	+M
FRM	0.758	0.445	FR	1.703370787	+M
FRM	0.673	0.395	FR	1.703797468	+M
NCM	0.67	0.388	NC	1.727	+M
FRM	0.782	0.452	FR	1.730088496	+M
FRM	0.649	0.375	FR	1.730666667	+M
NC	0.487	0.278	NC	1.752	-M
FRM	0.741	0.422	FR	1.755924171	+M
NC	0.521	0.295	NC	1.766	-M
NCM	0.523	0.296	NC	1.767	+M
NC	0.893	0.503	NC	1.775	-M
NCM	0.724	0.407	NC	1.779	+M
FRM	0.538	0.299	FR	1.799331104	+M
FRM	0.711	0.392	FR	1.81377551	+M
FRM	0.867	0.478	FR	1.813807531	+M
NCM	0.441	0.243	NC	1.815	+M
FRM	0.346	0.19	FR	1.821052632	+M
NC	0.343	0.187	NC	1.834	-M
FRM	0.922	0.502	FR	1.836653386	+M
FRM	0.902	0.491	FR	1.83706721	+M
NC	0.54	0.293	NC	1.843	-M
NCM	0.621	0.337	NC	1.843	+M
NCM	0.68	0.368	NC	1.848	+M
NCM	0.381	0.204	NC	1.868	+M
NC	0.505	0.269	NC	1.877	-M
FRM	0.25	0.133	FR	1.879699248	+M
FRM	0.888	0.471	FR	1.885350318	+M
FRM	0.582	0.308	FR	1.88961039	+M
FRM	0.869	0.459	FR	1.893246187	+M
FRM	0.8	0.419	FR	1.909307876	+M
FRM	0.67	0.349	FR	1.919770774	+M
NC	0.414	0.215	NC	1.926	-M
FRM	0.691	0.357	FR	1.93557423	+M
NCM	0.755	0.389	NC	1.941	+M
FRM	0.652	0.335	FR	1.946268657	+M
NCM	0.715	0.367	NC	1.948	+M
FRM	0.301	0.154	FR	1.954545455	+M
FRM	0.795	0.404	FR	1.967821782	+M
FRM	0.333	0.168	FR	1.982142857	+M
FRM	0.522	0.262	FR	1.992366412	+M
NCM	0.806	0.401	NC	2.01	+M
FRM	0.498	0.247	FR	2.016194332	+M
NC	0.672	0.332	NC	2.024	-M
FRM	0.473	0.232	FR	2.038793103	+M
FRM	0.274	0.134	FR	2.044776119	+M
FRM	0.524	0.256	FR	2.046875	+M
FRM	0.402	0.196	FR	2.051020408	+M
FRM	0.482	0.235	FR	2.05106383	+M
FRM	0.233	0.113	FR	2.061946903	+M
NCM	0.586	0.283	NC	2.071	+M
NC	0.81	0.391	NC	2.072	-M
FRM	0.808	0.388	FR	2.082474227	+M
FRM	0.19	0.091	FR	2.087912088	+M
FRM	0.602	0.287	FR	2.097560976	+M
FRM	0.787	0.372	FR	2.115591398	+M
FRM	0.324	0.153	FR	2.117647059	+M
FRM	0.863	0.407	FR	2.12039312	+M
NCM	0.571	0.267	NC	2.139	+M
NC	0.679	0.317	NC	2.142	-M
NCM	0.552	0.256	NC	2.156	+M
FRM	0.399	0.184	FR	2.168478261	+M
FRM	0.557	0.254	FR	2.192913386	+M
FRM	0.606	0.274	FR	2.211678832	+M
FRM	0.379	0.171	FR	2.216374269	+M
FRM	0.391	0.176	FR	2.221590909	+M
FRM	0.414	0.185	FR	2.237837838	+M
FRM	0.693	0.305	FR	2.272131148	+M
NC	0.829	0.364	NC	2.277	-M
NCM	0.722	0.316	NC	2.285	+M
FRM	0.587	0.255	FR	2.301960784	+M
NCM	0.503	0.216	NC	2.329	+M
FRM	0.503	0.215	FR	2.339534884	+M
FRM	0.253	0.108	FR	2.342592593	+M
FRM	0.589	0.251	FR	2.346613546	+M
NCM	0.375	0.158	NC	2.373	+M
FRM	0.934	0.388	FR	2.407216495	+M
FRM	0.447	0.184	FR	2.429347826	+M
NCM	0.704	0.287	NC	2.453	+M
FRM	0.66	0.269	FR	2.453531599	+M
FRM	0.904	0.364	FR	2.483516484	+M
FRM	0.515	0.207	FR	2.487922705	+M
FRM	0.683	0.27	FR	2.52962963	+M
FRM	0.519	0.205	FR	2.531707317	+M
NCM	0.612	0.24	NC	2.55	+M
FRM	0.785	0.304	FR	2.582236842	+M
FRM	0.553	0.214	FR	2.58411215	+M
FRM	0.667	0.257	FR	2.595330739	+M
FRM	0.558	0.215	FR	2.595348837	+M
FRM	0.413	0.155	FR	2.664516129	+M
FRM	0.711	0.266	FR	2.672932331	+M
FRM	0.703	0.263	FR	2.673003802	+M
FRM	0.653	0.236	FR	2.766949153	+M
FRM	0.229	0.075	FR	3.053333333	+M
FRM	0.47	0.152	FR	3.092105263	+M
FRM	0.844	0.271	FR	3.114391144	+M
FRM	0.903	0.281	FR	3.213523132	+M
FRM	0.441	0.125	FR	3.528	+M
FRM	0.454	0.124	FR	3.661290323	+M
FRM	0.493	0.114	FR	4.324561404	+M
FRM	0.373	0.059	FR	6.322033898	+M
FRM	0.394	0.055	FR	7.163636364	+M
FRM	1.088	0.456	FR	2.385964912	+M
